term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3115183656936194,0.02383094383348842,13.0720112417813,6.603819397092713e-39,0.3115183656936194,0.2648097157799821,0.3582270156072567
profile1,-0.425982103687399,0.0727154746748056,-5.858204262468948,4.744337904450037e-9,-0.061608760182321656,-0.2041310905449406,0.08091357018029731
profile2,-0.4120078661428448,0.05414851609353542,-7.608848697370541,2.8742451544840706e-14,-0.08079521273658494,-0.18692630427991436,0.025335878806744497
profile4,-0.4914168728017722,0.047934488900251725,-10.251843382003631,1.3157608902570524e-24,-0.1011456948471662,-0.19509729309165957,-0.007194096602672825
surveyyear2006,-0.04960851153149662,0.020980946885090706,-2.364455322402488,0.01806507289651665,-0.019211530259091822,-0.0603341861538696,0.02191112563568596
surveyyear2010,-0.148584112416006,0.021492768458572106,-6.913214214465015,4.8650639135492294e-12,-0.05606572709296066,-0.09819155327176199,-0.013939900914159337
surveyyear2014,-0.46193398932080687,0.02109938815878216,-21.89324097194434,3.803082627061981e-105,-0.1797367227131794,-0.22109152350439243,-0.13838192192196636
surveyyear2018,-0.11706463005193286,0.021066636005059126,-5.556873438351522,2.77770154722955e-8,-0.046219518960944644,-0.08751012553086053,-0.0049289123910287586
age,-0.12225734893872515,0.006692254929908288,-18.268483525985552,5.0798640830639304e-74,-0.12342770178389623,-0.13654452144651646,-0.11031088212127599
sex,-0.07967744633269101,0.012851080593254058,-6.200058100523955,5.742720708535857e-10,-0.03999757836115524,-0.06518569632393319,-0.014809460398377283
fas,0.09634816528233035,0.006860182359483178,14.044548706368337,1.2860177182387138e-44,0.09664596022282033,0.08320000279823331,0.11009191764740736
profile1:surveyyear2006,0.08869668714990746,0.11549326794010367,0.7679814480261025,0.44250629185416657,0.006438800576192407,-0.2199280045864108,0.23280560573879558
profile2:surveyyear2006,-0.1052433365221638,0.09119643468542318,-1.1540290679695384,0.24850054823736212,-0.009396882527088464,-0.18814189451051788,0.16934812945634098
profile4:surveyyear2006,0.05113314530816109,0.08332612267239756,0.613650841635757,0.5394523023924042,0.004906560986239739,-0.15841263945165948,0.16822576142413895
profile1:surveyyear2010,-0.06827506909193164,0.1360957082488858,-0.5016695233847728,0.6159049300119297,-0.003848614235092221,-0.2705962024029084,0.262898973932724
profile2:surveyyear2010,0.008910716739612207,0.0932843956385184,0.09552205037744653,0.9239010300354343,7.68688720827103e-4,-0.18206872673066896,0.18360610417232318
profile4:surveyyear2010,0.07053760165237019,0.092541071153836793,0.7622302267834261,0.4459306239723744,0.0058072193465898885,-0.1755732801149302,0.18718771880811
profile1:surveyyear2014,0.13198530697852787,0.13735055733712687,0.9609375421358503,0.3365939319044896,0.007334704051992369,-0.2618723883287763,0.27654179643276106
profile2:surveyyear2014,0.04541338925285047,0.1040827144728179,0.4363201851803218,0.6626086383863959,0.003324387672664043,-0.20067773269405903,0.20732650803938713
profile4:surveyyear2014,0.01430076059704125,0.09835332122554442,0.14540190833257843,0.8843948646159483,0.0010809943989495737,-0.1916915152031175,0.19385350400101664
profile1:surveyyear2018,0.011320053127264723,0.17435466035114622,0.0649254405042366,0.9482339433517972,4.609905410691916e-4,-0.3412741437471774,0.3421961248293158
profile2:surveyyear2018,0.09223333002451845,0.11618279948980821,0.7938638974920667,0.42728306773183033,0.005818636670475483,-0.22189965032954861,0.23353692367049955
profile4:surveyyear2018,0.056471316883931366,0.14205227095382242,0.39753899395447717,0.6909738206423304,0.0027253790424844894,-0.27569707202700744,0.2811478301119764
