term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5103076856754332,0.02151479165182373,-23.718922959320235,7.343481700930832e-123,-0.5103076856754332,-0.5524766773130076,-0.4681386940378587
profile1,0.055504612419244,0.14004895344102472,0.396322936055479,0.6918705584250476,0.008041964081071154,-0.2664539846633373,0.28253791282547963
profile2,0.1875651618498152,0.10574797433515679,1.773699808710734,0.07612630837530009,0.03674067024181474,-0.17052535945509256,0.24400669993872204
profile4,0.11881189138015444,0.09764606023754091,1.216760728401371,0.2237079982417328,0.024504252606599483,-0.16688202545898068,0.21589053067217967
age,0.10728623961498292,0.0066888774044359224,16.03949857771843,1.4100994943539378e-57,0.1081625953016746,0.0950523955889802,0.12127279501436901
sex,0.3113060508562851,0.013606680620419927,22.878912171209443,1.5171685809244343e-114,0.15613672085109187,0.12946762683506882,0.18280581486711492
fas,-0.006045419043113053,0.006464406185070567,-0.9351855174377567,0.3497027132776057,-0.006060743221826628,-0.01873097934456494,0.0066094929009116845
profile1:sex,0.2065938878269018,0.08910725268321985,2.3184856631294877,0.02043183629050719,0.047054277476042954,-0.12759593778306794,0.22170449273515386
profile2:sex,0.07675145150498544,0.06598980683165953,1.16308040877857,0.24480918522900486,0.024135840371580855,-0.10520418101847183,0.15347586176163353
profile4:sex,0.25875468707100235,0.06272501929066077,4.125222917381052,3.717034417129854e-5,0.08299048199344136,-0.039950555816253744,0.20593151980313645
