term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.33164036618962067,0.021653452097775156,-15.315819606597323,1.1047060503622352e-52,-0.33164036618962067,-0.37408113230126,-0.28919960007798134
profile1,0.08019661485721782,0.14065910850038874,0.570148749783923,0.5685824953225871,0.011605787850011196,-0.2640860648107507,0.2872976405107731
profile2,0.14105582006056788,0.10617635925082741,1.3285049615173037,0.18402479430552313,0.02759892394522077,-0.18050674018640098,0.2357045880768425
profile4,0.3500202118233168,0.09806710167089287,3.569190950477592,3.588291410728577e-4,0.0721336287714752,-0.12007789050347484,0.2643451480464252
age,0.12019006759002546,0.006729894429419001,17.859131201914202,7.557432699826548e-71,0.12089479486924314,0.10770420178758189,0.13408538795090438
sex,0.18953673665738147,0.013693129891501073,13.841739482440856,2.148323126167854e-43,0.09482924865431179,0.06799071406696969,0.12166778324165389
fas,-4.971132949258986e-4,0.006503052464171247,-0.07644307002976809,0.9390672832974711,-4.972721141759473e-4,-0.01324325494395159,0.012248710715599697
profile1:sex,0.25412551133124756,0.08954627284475099,2.8379239387420676,0.004544854813212831,0.05777624308668667,-0.11773445168902527,0.2332869378623986
profile2:sex,0.1295242341853626,0.06630123776176854,1.9535718873117407,0.05076421952790361,0.040657582046354196,-0.08929284396671214,0.17060800805942053
profile4:sex,0.14913170616292865,0.06300779121336111,2.366877227261135,0.017947282883177818,0.04778233612037086,-0.07571293465781692,0.17127760689855864
