term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3456511055517405,0.021759475180525133,15.885084666982245,1.645187515564843e-56,0.3456511055517405,0.30300253419791123,0.38829967690556977
profile1,0.2029028919494186,0.14158500703396026,1.43308176621237,0.15184853076576027,0.029310602112830264,-0.24819601167373184,0.30681721589939237
profile2,-0.12171380122665622,0.10660793378830599,-1.1416955277301062,0.253592894806714,-0.023884876189063386,-0.23283642641414312,0.18506667403601637
profile4,-0.7330683068327318,0.09892924310687855,-7.410026437185605,1.3078055895376155e-13,-0.15094511544126474,-0.3448464319307467,0.04295620104821721
age,-0.0991575411678154,0.006751603803725859,-14.686516574490865,1.3289926817214481e-48,-0.10001258399176971,-0.1132457274470724,-0.08677944053646702
sex,-0.198236538153827,0.01375004526135846,-14.417155317366706,6.571379664165246e-47,-0.09935767101974897,-0.12630775973201155,-0.0724075823074864
fas,0.06232115744064458,0.006542667215516152,9.525344234664402,1.807683304163663e-21,0.06233602382279566,0.049512396080384005,0.07515965156520732
profile1:sex,-0.3825594020894533,0.09026092693643582,-4.238372184664821,2.2605371317721634e-5,-0.086693072853583,-0.26360448964899724,0.09021834394183122
profile2:sex,-0.09667943181237688,0.06651198132995655,-1.4535641530924162,0.14608129414852067,-0.030461670776429643,-0.16082515418314447,0.09990181263028519
profile4:sex,0.057320903648473545,0.06341515499893917,0.9038991334079752,0.36605868104158623,0.01839516565406662,-0.10589853814385414,0.1426888694519874
