term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4895625352026964,0.0429341007219751,-11.402650270304182,8.579722251696459e-30,-0.4895625352026964,-0.5737133726177676,-0.4054116977876252
profile2,0.10340413411315674,0.23807217975919615,0.43433942688199584,0.6640585895102338,0.017790561039107918,-0.4488309112889165,0.48441203336713234
profile3,0.35066311381455467,0.23467979383967877,1.494219455698473,0.1351742015347114,0.06033118099180254,-0.39964121493396787,0.5203035769175729
profile4,-0.14454358326081373,0.2833722960979534,-0.5100836787900018,0.6100127957699215,-0.02064133735366265,-0.5760510377056514,0.534768362998326
age,0.10529264414815584,0.013296864671275423,7.918606885998808,2.8711280857530207e-15,0.10548913482329221,0.07942728006759238,0.13155098957899203
sex,0.30651159188147753,0.02698632349145185,11.358034449508015,1.4147292496080255e-29,0.15304363517674877,0.10015044113350313,0.2059368292199944
fas,-0.0288426107651385,0.01298607098523024,-2.221042130290429,0.026387667549396157,-0.02870110136025424,-0.05415380049130551,-0.00324840222920297
profile2:sex,0.3181760874078093,0.150053279290919,2.1204207526243968,0.0340141027332663,0.08684071606361715,-0.20726371134658406,0.38094514347381836
profile3:sex,-0.03058618872350827,0.150213800373424,-0.20361770121967845,0.8386596039753723,-0.008232103661271762,-0.3026511523931828,0.2861869450706393
profile4:sex,0.35485832824480174,0.1808433430300495,1.9622415859998636,0.049783453078050266,0.07939142454925274,-0.27506152778964427,0.43384437688814975
