term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.3933137460743278,0.04298197170101821,-9.150667838372117,7.756914945529267e-20,-0.3933137460743278,-0.4775584106083235,-0.3090690815403321
profile2,0.31514701415159646,0.23813804625158166,1.323379523399039,0.18576290730355238,0.0542299205129624,-0.41252065014013767,0.5209804911660625
profile3,0.27829396345568014,0.23375510953121334,1.190536386621827,0.23388580543307108,0.048022131012432155,-0.410137883668746,0.5061821456936103
profile4,-0.06946829881383632,0.2834470160481116,-0.24508389533388114,0.806400399988363,-0.009922083211167314,-0.5654782346654661,0.5456340682431315
age,0.1367053119037608,0.013307985274951525,10.272427349395212,1.5426233612550892e-24,0.13687889864972025,0.11079524751081526,0.16296254978862523
sex,0.23998747540081886,0.027017555191073434,8.882649584819223,8.643891495165549e-19,0.1197664357662754,0.06681202759177146,0.17272084394077933
fas,-0.022914628081807102,0.012994916380367776,-1.7633532537712708,0.0778951365687074,-0.022795795110492723,-0.04826583121601356,0.002674240995028117
profile2:sex,0.1564149905968482,0.15009285721766077,1.0421214806379444,0.2974000837406783,0.042698169536610334,-0.2514838306100048,0.33688016968322543
profile3:sex,0.08373027781244678,0.14987227691864935,0.5586775588783212,0.5764040043029381,0.02256438728958151,-0.2711852754709712,0.3163140500501342
profile4:sex,0.3299746100528921,0.1808894365950792,1.8241784388523465,0.06817805211494539,0.07383750021175617,-0.28070579551459907,0.4283807959381114
