term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2971690518444697,0.04303951712760477,6.90456286866357,5.593006035822458e-12,0.2971690518444697,0.21281159827436433,0.381526505414575
profile2,-0.12274469014074121,0.23798975219484772,-0.5157561996209286,0.6060450294684043,-0.021204058405864465,-0.487663972707766,0.44525585589603706
profile3,0.034931537581184564,0.23500068260476026,0.1486444090034187,0.8818395733988191,0.006051257990278116,-0.454550079915052,0.4666525958956082
profile4,-0.6819415372537847,0.2832434930454335,-2.407615899385898,0.01608915566017748,-0.0977830944724226,-0.6529403408414722,0.457374151896627
age,-0.11722310566276875,0.013334524478122304,-8.790947577852846,1.9439367299012442e-18,-0.11755625964578104,-0.14369192762290076,-0.09142059166866132
sex,-0.16890847231115752,0.027063251504750557,-6.2412482949991475,4.659192775154452e-10,-0.08444184518444063,-0.1374858181337517,-0.03139787223512954
fas,0.07311306447813516,0.01299894278980265,5.624539292186943,1.9499844627939007e-8,0.07294303723295625,0.04746510936494306,0.09842096510096945
profile2:sex,-0.3259572863772404,0.14998584037505955,-2.173253725565966,0.029802941022862926,-0.08932750772165744,-0.38329975485677414,0.2046447394134593
profile3:sex,-0.31909435893807714,0.14966052400080623,-2.1321210858272694,0.033040223310246954,-0.08693674086286297,-0.38027136790444316,0.20639788617871724
profile4:sex,0.11694804228113735,0.18075977942463237,0.6469804436218553,0.5176710800092954,0.02627193089344487,-0.32801723677883454,0.3805610985657243
