term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3475635755821677,0.04289164544818998,8.10329312271313,6.529255262614348e-16,0.3475635755821677,0.2634959505037154,0.43163120066062005
profile1,-0.15337765434424958,0.2984361695890302,-0.5139378868032737,0.6073159637596623,-0.021305023921168908,-0.6062399163156681,0.5636298684733302
profile2,-0.013061911706434079,0.3165020042189592,-0.04126960187398283,0.9670824572718765,-0.0017562784396057288,-0.6221002067087656,0.6185876498295543
profile4,-1.0598977666944416,0.342061930817055,-3.0985551773117566,0.0019544323310324717,-0.13179793946330282,-0.8022393238647305,0.538643444938125
age,-0.0678507186835362,0.013480712454070322,-5.033170087612809,4.977199024199486e-7,-0.06787164702834125,-0.09429384343831909,-0.04144945061836342
sex,-0.2178480523433476,0.027142493113604636,-8.026088518528741,1.2193101331998917e-15,-0.1089143159785876,-0.16211360248125267,-0.05571502947592251
fas,0.06800515537569303,0.01327247454276849,5.123773653251846,3.096556645013703e-7,0.06781617765891858,0.04180212755509234,0.09383022776274481
profile1:sex,0.01559322773552671,0.19022700765872133,0.08197168176824764,0.9346722005325898,0.0033997947079507027,-0.36944514030314307,0.3762447297190445
profile2:sex,-0.19421775284892043,0.19682384455393326,-0.9867592683654814,0.32380386142509676,-0.04205032389883891,-0.42782505922454805,0.34372441142687027
profile4:sex,0.15561529445468994,0.21273294585955663,0.7315053802593653,0.4645015317209664,0.031143131232285598,-0.38581344265244544,0.4480997051170166
