term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.48008912401025094,0.025496821916805024,18.829371188956806,1.7025131660611844e-78,0.48008912401025094,0.4301153530533131,0.5300628949671888
profile2,-0.5167089107523087,0.059445710779143575,-8.692114266612405,3.79219521782729e-18,-0.10079737084456707,-0.21731096397168848,0.015716222282554343
profile3,-0.4326942656763709,0.11536284224756294,-3.7507247329068965,1.7675882152136716e-4,-0.07084077444788855,-0.2969519452531119,0.1552703963573348
profile4,-0.2648352045140775,0.10544977074848368,-2.511482032007032,0.012029371677798648,-0.03626532998859449,-0.2429468806556225,0.1704162206784335
surveyyear2006,-0.1263751857148836,0.02312222627281289,-5.465528458368022,4.663477066383647e-8,-0.04731419504279559,-0.09263375853750885,-0.0019946315480823262
surveyyear2010,-0.07801203231023404,0.02361368641356399,-3.3036786778629774,9.557157850545529e-4,-0.028689663146404913,-0.07497248851699034,0.01759316222418051
surveyyear2014,-0.15254518347321816,0.021386378270020403,-7.132819851365728,1.012611879253912e-12,-0.06571763679395176,-0.10763493820319175,-0.023800335384711775
surveyyear2018,-0.1381890344366875,0.021384955944123978,-6.461974240103975,1.0542611034802069e-10,-0.05908859899677091,-0.1010031126472539,-0.017174085346287914
age,-0.07311728588130478,0.00663061659992592,-11.027222699337145,3.326667729855549e-28,-0.07360811348223548,-0.08660412201809028,-0.060612104946380675
sex,-0.2246482224180509,0.012914467342832279,-17.395082309974946,2.439318908513176e-67,-0.11217214896225597,-0.13748450495420722,-0.0868597929703047
fas,0.08652440486184927,0.006693987705347801,12.925689240917675,4.383039913206131e-38,0.08577079946065796,0.07265058355817627,0.09889101536313966
profile2:surveyyear2006,-0.1265261364476264,0.09586907016062336,-1.319780574022871,0.18692149336090505,-0.011003222172390543,-0.19890659968721233,0.17690015534243123
profile3:surveyyear2006,0.2285572732320495,0.14737089033088074,1.5508983675058696,0.12093987220656262,0.016272789247745584,-0.2725741558007807,0.3051197342962718
profile4:surveyyear2006,-0.059428203437061664,0.15154873880100278,-0.39213921479806096,0.6949590062934583,-0.0035449231513768865,-0.30058045120134236,0.2934906048985886
profile2:surveyyear2010,-0.1592058228065737,0.09611432878313378,-1.6564213143057527,0.0976502391621057,-0.013805868622379685,-0.20218995303732187,0.17457821579256252
profile3:surveyyear2010,0.14757528270610937,0.1469831109296717,1.0040288423118287,0.31537532921529093,0.010596002880662727,-0.27749089454149384,0.29868290030281924
profile4:surveyyear2010,-0.2306958503507032,0.14453916984192908,-1.5960784236065337,0.11048509544174138,-0.015190628595500955,-0.2984874014856819,0.26810614429468
profile2:surveyyear2014,-0.13063584038587325,0.09556688563744725,-1.3669571788858679,0.17165215758926422,-0.011328362354765953,-0.19863945820416257,0.17598273349463067
profile3:surveyyear2014,0.30558884773047057,0.13783352492209924,2.2170865027444036,0.026626971725933174,0.026424104008342032,-0.24372960483897246,0.29657781285565654
profile4:surveyyear2014,-0.21066392769522505,0.13904452575288176,-1.5150825000448387,0.12976532619444853,-0.015062451929980554,-0.2875897224056288,0.25746481854566766
profile2:surveyyear2018,-0.20706877853071054,0.11884744089783122,-1.742307423419575,0.08146810092111523,-0.013009390941450235,-0.24595037510119944,0.21993159321829897
profile3:surveyyear2018,0.2847633249250213,0.14073290336052002,2.023431039403301,0.043040328533703945,0.023015600412020422,-0.2528208901745988,0.2988520909986397
profile4:surveyyear2018,-0.13474959896573502,0.1730119744979015,-0.7788455068314906,0.4360787818751912,-0.006343290863613061,-0.34544676087950005,0.3327601791522739
