term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2831377139026096,0.026434123023861084,10.711068933402174,1.1327075124309309e-26,0.2831377139026096,0.23132683277584187,0.33494859502937735
profile2,-0.23377385712345736,0.1497795978779592,-1.560785717384132,0.11859583939395761,-0.03944590532159026,-0.33301391716239026,0.25412210651920975
profile3,0.025381720369242054,0.14880246722186433,0.17057324951069483,0.864561680297133,0.004311594266538697,-0.28734124148831536,0.2959644300213928
profile4,-0.7758268028075429,0.19026667704008476,-4.077575826081696,4.5747249544757045e-5,-0.10286064335801111,-0.4757833303565772,0.270062043640555
age,-0.12180105473712803,0.00811175528487645,-15.015375890864682,1.3803985706117975e-50,-0.12370627798694252,-0.13960531834530035,-0.10780723762858467
sex,-0.17238283246804476,0.01660304413440755,-10.382604001564076,3.6351510332884366e-25,-0.08624277587181725,-0.11878474237525605,-0.053700809368378455
fas,0.08987831224698815,0.008325310549649963,10.795790945091781,4.5519976362340096e-27,0.08632074875831819,0.07000314008100426,0.10263835743563211
profile2:sex,-0.2809984223042695,0.09464380911200664,-2.969010069868603,0.0029924272420624714,-0.07502958526798084,-0.26053145112751386,0.11047228059155215
profile3:sex,-0.293220083588072,0.09403303972612889,-3.1182665629237887,0.0018226932998364849,-0.07892983919147502,-0.26323459705468766,0.10537491867173761
profile4:sex,0.16455394845026033,0.12044048264978448,1.3662677600582895,0.1718758296309451,0.03448756586287833,-0.20157578013069924,0.2705509118564559
