term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6921607328205216,0.051914323834255226,-13.332750610994287,8.202674072170165e-40,-0.6921607328205216,-0.7939128075356618,-0.5904086581053813
profile2,0.5345757785019483,0.1558914823100029,3.4291532197949133,6.108208240212317e-4,0.15307763148573172,-0.152469673841874,0.45862493681333744
profile3,0.9386439682027627,0.19762961711758187,4.749510634553861,2.1015322054789306e-6,0.20623060146117314,-0.1811234480892873,0.5935846510116336
profile4,0.737525536879246,0.11070975015357004,6.661793887676506,3.025066526535612e-11,0.29761774206472363,0.08062663176372636,0.5146088523657208
age,0.025952084530484205,0.014421079392582014,1.799593762990693,0.07199072835127189,0.025985037210065558,-0.0022802783993951872,0.0542503528195263
sex,0.3043925970662975,0.03382312912758666,8.999539809521357,3.259653626807631e-19,0.15240387451785786,0.08611054142778801,0.2186972076079277
fas,-0.016397813934693087,0.013654689063339456,-1.2008925182132826,0.22985512132634744,-0.016379611104306326,-0.043142801668451664,0.010383579459839008
profile2:sex,0.055442204354200594,0.09710354913105317,0.5709596080713232,0.5680550913036546,0.025712732125388882,-0.1646102241714753,0.21603568842225307
profile3:sex,-0.3131556654427207,0.1255082955359571,-2.4950993406886335,0.012627197804212117,-0.1087971735039933,-0.35479343275446923,0.1371990857464826
profile4:sex,0.03727545400651239,0.06923997054207229,0.5383516733858618,0.5903604962747816,0.024628950184745018,-0.11108139207771665,0.16033929244720668
