term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.2215720235357669,0.05011310221571762,-4.421438979809803,1.0034196915860062e-5,-0.2215720235357669,-0.3197937038785734,-0.12335034319296038
profile2,-0.18583152191180616,0.19480900790685485,-0.9539164739274215,0.3401768327819382,-0.046603128245570336,-0.4284287837430058,0.33522252725186513
profile3,0.4603151851334026,0.17770172740531218,2.5903810382410613,0.00961770154392721,0.12135692041155542,-0.22693846530285644,0.4696523061259673
profile4,0.781387990785617,0.29603159143199853,2.6395425805934964,0.008330252188624019,0.1365131322377282,-0.44370878696898886,0.7167350514444453
age,0.18835665262518383,0.015054375778605548,12.511754415806863,2.457172422310694e-35,0.18836056997543904,0.15885399344937218,0.2178671465015059
sex,0.11712099451483665,0.03164031469498029,3.7016381045482394,2.1675879435738047e-4,0.05854018141095586,-0.003474835391205508,0.12055519821311723
fas,-0.027413105964288302,0.014398374870070303,-1.903902781505678,0.05698616378377087,-0.02741456888218504,-0.055635383627522836,8.062458631527512e-4
profile2:sex,0.27268764744858437,0.11726681313476027,2.325360774793275,0.020096632422205007,0.11446555388760352,-0.11537739985652662,0.34430850763173365
profile3:sex,-0.08078356685875024,0.10988542454496728,-0.7351618032443603,0.46227902416858135,-0.03459773847064614,-0.24997317057878202,0.18077769363748972
profile4:sex,-0.4121280265456272,0.17288606836870085,-2.3838128221339003,0.017175270676682886,-0.12384305961059125,-0.4626997536132449,0.21501363439206242
