term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.1307608496276533,0.05110208387511943,2.5588163869637834,0.010535146140031358,0.1307608496276533,0.030600765232419225,0.23092093402288738
profile2,-0.24645987967951993,0.19865356207308474,-1.2406517009186435,0.2147987075400821,-0.06178310154186526,-0.45114408320511135,0.3275778801213808
profile3,-0.05449689286572355,0.18120866953177173,-0.3007410904044438,0.7636257373362693,-0.014361796710730422,-0.36953078899300296,0.34080719557154215
profile4,-1.0494082319788967,0.3018737724502383,-3.4763146975674544,5.131292955755878e-4,-0.18326517840076773,-0.7749377724032347,0.40840741560169924
age,-0.09999164679531529,0.01535147376058029,-6.513488434711403,8.142017015165772e-11,-0.0999540834582139,-0.13004297202895126,-0.06986519488747653
sex,-0.06917768526286062,0.03226473604483683,-2.144064813260135,0.03208077346203191,-0.03456313491881161,-0.0978020175666918,0.028675747729068578
fas,0.076484649588842,0.014682526679519154,5.209229396159139,1.9804348758055002e-7,0.07645840697596024,0.047680654684102694,0.10523615926781778
profile2:sex,-0.014364024487723821,0.11958107272594563,-0.12011954869014353,0.9043937749401646,-0.006027167677973266,-0.2404060702208267,0.22835173486488017
profile3:sex,-3.2452626157959317e-4,0.11205401249314002,-0.0028961592214242285,0.9976893300547988,-1.3893201086967067e-4,-0.21976479649742411,0.21948693247568477
profile4:sex,0.5611658052961366,0.17629797350374368,3.1830530671654045,0.0014671725427304345,0.16856154796364406,-0.17698248010369358,0.5141055760309817
