term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.06499012148218139,0.051187037319799476,1.269659759289151,0.20427108602373467,0.06499012148218139,-0.035336471664625585,0.16531671462898836
profile2,0.23276189109882844,0.1989838089655072,1.169752917631487,0.24216197031466,0.05837685981121998,-0.3316314057611741,0.4483851253836141
profile3,-0.2573553963478073,0.1815099155772409,-1.417858608601967,0.15630084523948437,-0.06785403698294616,-0.4236134715143383,0.28790539754844596
profile4,-0.3811316895564376,0.30237561532793544,-1.2604577559704635,0.20756921273572235,-0.0665910596946363,-0.6592472657373898,0.5260651463481172
age,-0.07513449509974474,0.015376994453240568,-4.8861625936212,1.0637003995535203e-6,-0.07514179601186234,-0.10528070514021386,-0.045002886883510826
sex,-0.036880491842382346,0.03231837378836604,-1.1411617454482992,0.25386295569075945,-0.01843525645129899,-0.08177926907649641,0.04490875617389844
fas,0.11787448266620816,0.014706935297004892,8.014890953536296,1.3910940908067053e-15,0.11788977591985439,0.0890641827377248,0.146715369101984
profile2:sex,-0.21156573920033953,0.11977986743794662,-1.7662879724753717,0.07741490290291543,-0.08881531397212773,-0.3235838541505031,0.14595322620624762
profile3:sex,0.1377913116531385,0.11224029402276954,1.2276456762059582,0.219643809260336,0.059017347660188985,-0.1609736286244393,0.2790083239448173
profile4:sex,0.25701347915123124,0.17659105587932458,1.4554161753631747,0.14562338909171332,0.07723756804521,-0.2688809014782662,0.42335603756868617
