term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.11583115915716918,0.02917768401824391,3.9698544642797393,7.227873101539056e-5,0.11583115915716918,0.058642898481411125,0.17301941983292723
profile1,-0.36751861547328857,0.04658649428615381,-7.888951961395398,3.274015708922479e-15,-0.10441324135986464,-0.1957227701607261,-0.01310371255900318
profile2,-0.19809116595340062,0.07550343299727164,-2.623604756628202,0.008709981534072365,-0.041206503042755645,-0.18919323171740804,0.10678022563189676
profile3,-0.12374475702791889,0.07685135819326487,-1.61018308507609,0.10738062292476325,-0.021369507150241364,-0.1719981692090405,0.1292591549085578
surveyyear2014,0.23066585103242518,0.02205423495898096,10.459027550102936,1.6570238581266103e-25,0.10826057082823717,0.06503427030863448,0.15148687134783986
surveyyear2018,0.23929194080086208,0.022507324957843446,10.63173616807237,2.6773694700407315e-26,0.11205093826585831,0.06793658134848515,0.15616529518323147
age,-0.08787144292113802,0.008772604040308767,-10.01657461312311,1.5492328954487937e-23,-0.08774005513380165,-0.10493435905280683,-0.07054575121479646
sex,-0.1532488923443652,0.016567506456433644,-9.24996726256619,2.568437345165859e-20,-0.07651290622480565,-0.10898521887941559,-0.04404059357019571
fas,0.08025996457425266,0.008388891904783792,9.567409556020642,1.2779870102797891e-21,0.080075247596939,0.06363301946356277,0.09651747573031523
profile1:surveyyear2014,0.0025541145177802684,0.06804366048908526,0.037536406763271774,0.9700578517728597,4.3098603830894663e-4,-0.13293458852029819,0.13379656059691605
profile2:surveyyear2014,-0.118155855980838,0.11867964354796078,-0.9955865424645373,0.3194684242650961,-0.01073274092680808,-0.2433448422808112,0.22187936042719503
profile3:surveyyear2014,-0.07602781588402638,0.11920621674512455,-0.6377839844257608,0.5236248227423399,-0.006935473122543517,-0.24057965794298763,0.22670871169790058
profile1:surveyyear2018,0.11326378579743265,0.07364056730087955,1.5380623744336617,0.12405614946081704,0.016594509056707625,-0.1277410028530163,0.16093002096643153
profile2:surveyyear2018,0.14586178161306937,0.09329025883967977,1.5635263898638578,0.11795162130290952,0.022530538079930003,-0.16031836924584236,0.20537944540570235
profile3:surveyyear2018,0.013438480068838136,0.11291331229643108,0.11901590517120003,0.9052644764583717,0.001354000542727957,-0.21995609155827694,0.22266409264373288
