term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.05985642273236072,0.02893944878316109,2.068333200844834,0.03862722342165921,0.05985642273236072,0.003135103117364986,0.11657774234735646
profile1,-0.26546813749189535,0.04623569240213054,-5.741627813919417,9.57382026777269e-9,-0.07566844406229545,-0.1662904011704713,0.014953513045880412
profile2,-0.3610280121204622,0.07472462013204259,-4.831446603308327,1.3699658238697362e-6,-0.07512510967899698,-0.22158536513780047,0.0713351457798065
profile3,-0.39222738440213134,0.0764927195689299,-5.127643344523571,2.9734951623087497e-7,-0.06773241192227983,-0.21765814227738245,0.08219331843282279
surveyyear2014,0.12092162746727537,0.021869009529401778,5.529360042790341,3.2721914792243705e-08,0.05683242630079892,0.013969167623171436,0.0996956849784264
surveyyear2018,0.03755599428262251,0.022285010963977444,1.6852580572354132,0.09196132679956334,0.01763421086749566,-0.02604441062190013,0.061312832356891445
age,-0.16665671042544167,0.008697463345007577,-19.161530645726046,8.590499079845427e-81,-0.16678797961034791,-0.18383500776656275,-0.14974095145413308
sex,-0.05639249417338971,0.016418448271643498,-3.4347030389458832,5.949420943383958e-4,-0.02821195672410552,-0.060392115336526775,0.0039682018883157345
fas,0.14722982764119788,0.008323127429787908,17.689243482476588,2.928541972252077e-69,0.146984116758795,0.1306707869964107,0.1632974465211793
profile1:surveyyear2014,0.04350990795202687,0.06730363400854263,0.6464718969930257,0.5179845059773298,0.007392932597214816,-0.12452219005952873,0.13930805525395837
profile2:surveyyear2014,0.1346941627120444,0.11866224382598711,1.1351054755846972,0.2563507752320546,0.012065017810217448,-0.22051298008871728,0.2446430157091522
profile3:surveyyear2014,0.22242251329225843,0.11854100000900075,1.8763340386479783,0.06063044159176105,0.020272846879758246,-0.21206751313788322,0.2526132068973997
profile1:surveyyear2018,0.25068661529793246,0.07295089900968484,3.4363745848375595,5.912862749270412e-4,0.0368533075902852,-0.10613045446869708,0.1798370696492675
profile2:surveyyear2018,0.3626226834782836,0.09232236162392843,3.927788209701709,8.61465060052985e-5,0.05620246907221731,-0.1247493597106824,0.23715429785511705
profile3:surveyyear2018,0.5029724122398161,0.11203560871683761,4.48939777272996,7.200147201132729e-6,0.05085015061873214,-0.16873964246626957,0.27043994370373386
