term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.4203314401602059,0.028496014904063314,-14.750534121185831,7.149220422029627e-49,-0.4203314401602059,-0.47618362937217,-0.3644792509482418
profile1,0.21737343651631724,0.09711623892217722,2.238281042684391,0.02521851484517186,0.06192060531556492,-0.12842722297190243,0.25226843360303225
profile2,0.6248288338898411,0.1296063986031059,4.8209721173046125,1.4437331573131019e-6,0.13017562059656618,-0.1238529206655214,0.38420416185865375
profile3,0.7342991510994955,0.16252777514887923,4.5179917735713815,6.29438075137006e-6,0.12695388975201602,-0.19160054953978725,0.4455083290438193
age,0.08213405375661766,0.008796118860021403,9.337533412596223,1.133514874346204e-20,0.08216300840647986,0.06492261544083791,0.09940340137212181
sex,0.24568059156128308,0.018156528233763243,13.531253794677777,1.8721613282366885e-41,0.12293447813599055,0.0873476827978146,0.1585212734741665
fas,-0.027217187817738183,0.008307145601257605,-3.2763585862294047,0.0010541283303815957,-0.027182129275969955,-0.043464134654434855,-0.01090012389750505
profile1:sex,0.0866981844867882,0.05904846031877689,1.4682547863016666,0.14205767337309777,0.04087966050862933,-0.07485532171617337,0.15661464273343204
profile2:sex,-0.2231115622315427,0.08013446698480377,-2.784214715920582,0.005373008724251393,-0.07542582293002786,-0.23248937822024324,0.08163773236018751
profile3:sex,-0.3118210943975985,0.09780319627460925,-3.1882505508518904,0.0014345385044925946,-0.08990469690362465,-0.28159896160185877,0.10178956779460946
