term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.27401157994861125,0.0285880621458175,9.584825251567453,1.080886053005257e-21,0.27401157994861125,0.21797897814280895,0.3300441817544135
profile1,-0.15448734779949397,0.09743398379935186,-1.5855591835147935,0.11286210384426497,-0.04389036106936002,-0.23486096931608968,0.14708024717736962
profile2,-0.2635767243308636,0.12984978407180406,-2.0298587803974435,0.04238991596677938,-0.05482866962221969,-0.3093342464029556,0.19967690715851624
profile3,-0.6485449297238695,0.1626748266969626,-3.986756543051408,6.732538619207842e-5,-0.11199735524843424,-0.43084001557448093,0.20684530507761245
age,-0.08822561453782853,0.008818867917390347,-10.004188220559719,1.7541833313455035e-23,-0.0880936971833938,-0.10537867830147887,-0.07080871606530872
sex,-0.15511793659322018,0.01821482382391274,-8.516027280460358,1.819239715625393e-17,-0.07744606799292665,-0.11314712268779561,-0.04174501329805768
fas,0.09720934801812349,0.008323688374168605,11.678638561217527,2.296919389857454e-31,0.09698562231592826,0.0806711931025578,0.11330005152929873
profile1:sex,-0.12887198988443838,0.05925731304181808,-2.1747862545420005,0.02966295214690843,-0.060592562245143776,-0.17673689580710722,0.05555177131681966
profile2:sex,0.08983848563283982,0.08032414732133743,1.11844929113832,0.26339449350545957,0.030309763106124606,-0.12712556564369676,0.18774509185594596
profile3:sex,0.31275205471115675,0.09796371072165584,3.1925296868324917,0.0014134668527475316,0.09000170725112579,-0.10200716576331965,0.28201058026557124
