term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.09456189552418921,0.028237125287915322,3.34884994701139,8.13641221442112e-4,0.09456189552418921,0.03921712995987518,0.14990666108850326
profile1,0.061118886497602894,0.09617361119657365,0.6355057872650659,0.5251090915301707,0.017421190685209226,-0.17107908726007512,0.20592146863049357
profile2,-0.21539920520326683,0.12877014160572978,-1.6727418523991309,0.0944007084046874,-0.04482169907155259,-0.29721117661878294,0.20756777847567776
profile3,-0.09294922630848192,0.16057350281355873,-0.5788578107834199,0.562694531356733,-0.01605108550434271,-0.3307751510189178,0.2986729800102324
age,-0.16548037181526415,0.008711868217205902,-18.994820363379823,1.919750432991067e-79,-0.16561071444275702,-0.1826859761484806,-0.14853545273703345
sex,-0.0439747068966145,0.017987575250938376,-2.4447267785201023,0.014508564816221788,-0.02199960377897115,-0.05725525127081037,0.013256043712868065
fas,0.1536551923615186,0.008231563389367461,18.666586782286316,8.089026969782926e-77,0.15339875823056964,0.13726489398740943,0.16953262247372985
profile1:sex,-0.16237754361661577,0.05845786918667426,-2.777684952869108,0.005482130581523098,-0.07663203518795492,-0.19120945879383647,0.037945388417926634
profile2:sex,0.04063776930160361,0.07950189514226035,0.511154724411117,0.6092508658295546,0.013741630388063772,-0.1420820840907665,0.16956534486689406
profile3:sex,-0.04986441229238596,0.09684821768938859,-0.5148717599771532,0.6066508511473021,-0.014326893762003384,-0.204149400433205,0.17549561290919824
