term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6373228827149141,0.020576863746407586,-30.972790147681334,1.482426339386208e-208,-0.6373228827149141,-0.677653535657873,-0.5969922297719552
profile2,0.374677583890401,0.07093344433154687,5.282100529887384,1.282703544173395e-7,0.06465853122085162,-0.07437101966898026,0.2036880821106835
profile3,0.4718373501851809,0.05792987792074457,8.14497401204115,3.8848177181325495e-16,0.09287058404532629,-0.020671976679333057,0.20641314476998562
surveyyear2006,0.04417278928213377,0.020541192587442962,2.1504491082536776,0.03152472040525686,0.014274982926978456,-0.025985754544409746,0.05453572039836666
surveyyear2010,0.049612003041894635,0.01760535768846458,2.8180059683991265,0.004834280185304779,0.022935982599300235,-0.011570518470090337,0.05744248366869081
surveyyear2014,0.012468625044437912,0.017997605122201315,0.6927935666872135,0.4884424852264453,0.0053975454005549635,-0.029877760638959614,0.04067285144006954
surveyyear2018,0.058347270311529496,0.01799551443100675,3.2423229986132323,0.0011864103651023524,0.02504533358938456,-0.010225874695388663,0.06031654187415779
age,0.13780766035795206,0.004473364057849558,30.806269862193854,2.3084436727413807e-206,0.13817331670571184,0.1294055231523267,0.14694111025909698
sex,0.36941551846962223,0.008768532324731567,42.12968656427132,0,0.18526120295848186,0.16807487960200798,0.20244752631495574
fas,-0.00666777582623978,0.004473341557717486,-1.4905581745119412,0.13608414917979303,-0.006668935698256959,-0.015436685151383231,0.0020988137548693135
profile2:surveyyear2006,-0.050322196787026756,0.09256169568202595,-0.5436611377550482,0.5866772223848875,-0.003805018193387863,-0.18522594173015872,0.177615905343383
profile3:surveyyear2006,0.18787915504962327,0.08295197852386664,2.2649146939342426,0.023522384243760974,0.014206128682093927,-0.1483797492246847,0.17679200658887254
profile2:surveyyear2010,0.03164010680872103,0.08364592637650893,0.37826237545988634,0.705237377080763,0.003174416121028696,-0.1607715995769288,0.1671204318189862
profile3:surveyyear2010,0.02719274487682136,0.06777467201574218,0.40122281772909557,0.6882578812402643,0.0034434631915352194,-0.12939489395931947,0.1362818203423899
profile2:surveyyear2014,0.1095699075948446,0.08753602009308194,1.2517122377546157,0.21068088149285985,0.009496231050126992,-0.16207436833231362,0.18106683043256758
profile3:surveyyear2014,0.24190763993630643,0.07667841259125215,3.1548336977949445,0.0016068938104396235,0.02136856084331957,-0.12892112783553464,0.17165824952217376
profile2:surveyyear2018,0.23213100250137247,0.10565783036842592,2.1970070906428623,0.02802473494854017,0.013094465556821188,-0.1939948819652936,0.220183813078936
profile3:surveyyear2018,0.11563834899518025,0.08953843817898524,1.2914939253689226,0.19653872254816043,0.0074847136688410525,-0.16801062516197002,0.1829800524996521
