term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3447467922701697,0.020905419745334896,16.490785474283573,6.31720599657732e-61,0.3447467922701697,0.3037721695693133,0.3857214149710261
profile2,-0.26245566555970223,0.07188289662477385,-3.651155947842662,2.613428841888163e-4,-0.04538674853674315,-0.1862772259212999,0.09550372884781358
profile3,-0.5176788431950153,0.05898739391051499,-8.776092803495338,1.7475777536823514e-18,-0.10161712336968759,-0.21723241543429697,0.013998168694921792
surveyyear2006,-0.007812853262535734,0.020852878911327342,-0.3746654500684685,0.7079109640101582,-0.0025284054473589026,-0.04340004811356049,0.03834323721884268
surveyyear2010,-0.047415559468157606,0.01790500651785249,-2.648173259299354,0.008095479086929307,-0.02187903675207176,-0.056972849527062636,0.013214776022919119
surveyyear2014,-0.05520550969245139,0.01828999180488188,-3.0183452393738195,0.0025429399249384307,-0.023886185085233616,-0.059734569022802095,0.011962198852334863
surveyyear2018,-0.07984098266145181,0.018288468095259927,-4.365646277511089,1.2701508826900721e-5,-0.0342631380235808,-0.07010853549029025,0.0015822594431286544
age,-0.12037536042874078,0.004541264462794176,-26.507013941812037,1.0637030358883468e-153,-0.12056684009500357,-0.12946771844208016,-0.11166596174792698
sex,-0.17232868651193115,0.008901554705267212,-19.359391950932025,3.5597093884743984e-83,-0.08635451079257368,-0.10380155801489742,-0.06890746357024995
fas,0.10975904821540015,0.004541248161638407,24.169357037691793,2.79526457505429e-128,0.10967912228534774,0.10077827588853645,0.11857996868215902
profile2:surveyyear2006,0.0028946089889611637,0.09372600317762332,0.030883734404800044,0.9753623916287574,2.1951964002519338e-4,-0.1834834465881165,0.1839224858681669
profile3:surveyyear2006,0.06699969287234907,0.08410277227332916,0.7966407177946992,0.4256637063572858,0.005090326580890197,-0.15975110707483495,0.16993176023661535
profile2:surveyyear2010,0.09057938319514623,0.08469393975394801,1.069490726943351,0.28485404284171945,0.009126025237350587,-0.15687409668038751,0.1751261471550887
profile3:surveyyear2010,-0.06569494293734003,0.0690057015779476,-0.9520219552167325,0.3410906943111309,-0.00829107658063591,-0.1435422516734132,0.12696009851214138
profile2:surveyyear2014,-0.05576524941530195,0.08878670365844975,-0.6280810877924154,0.529953842919207,-0.004825127143754812,-0.1788470663143163,0.1691968120268067
profile3:surveyyear2014,-0.2074505777711087,0.07826901087400448,-2.6504816587634856,0.00804037455791166,-0.018148828458332635,-0.1715560897713814,0.13525843285471614
profile2:surveyyear2018,-0.13976601193595048,0.10687136265826463,-1.3077966675026953,0.19094861770090993,-0.007919199156299317,-0.217387069966498,0.20154867165389936
profile3:surveyyear2018,0.02208486382913827,0.09078253129607697,0.24327217487592392,0.8077956093310983,0.0014346545182570205,-0.17649910682205383,0.1793684158585679
