y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.5063202967700966,0.21483658330921923,-16.320871626055276,7.012712599243657e-60,0.030007128863373943,0.0196948125537906,0.04571903287547802
1,age,1.8328979460943347,0.10307673399764856,17.7818783639007,9.765280867671288e-71,6.251978327699036,5.1083044933216515,7.6517038209290735
1,sex,0.0987955268728246,0.1172711356070735,0.842453911283396,0.3995339272828319,1.1038405707485264,0.8771687402379381,1.3890873554156933
1,fas,0.17319227122940126,0.060204535317467854,2.8767313013235887,0.004018175887267718,1.1890947118081938,1.056742836889211,1.338023012119504
2,(Intercept),-2.2423276404476344,0.1513411270891273,-14.816379946259357,1.1480708201660238e-49,0.10621099542613864,0.078948759605622,0.14288730571275413
2,age,0.10486077749160927,0.047712132084881405,2.1977801642789427,0.027964775636403198,1.110555985202336,1.0114095971609625,1.2194214883176058
2,sex,0.21154676729477795,0.09307389972400637,2.2728903368407383,0.0230327892694405,1.2355877493739937,1.0295501135220058,1.4828584508435976
2,fas,-0.0019622110255725898,0.04650676514731853,-0.0421919481898372,0.9663456812600132,0.9980397128519249,0.9110882902062395,1.0932895078742295
4,(Intercept),-2.5862363794452703,0.1867107968005418,-13.851563079172534,1.2447366051571744e-43,0.07530291904082327,0.05222523137633382,0.1085783531566778
4,age,0.8505002564639662,0.06679124810468591,12.733708091978254,3.841521945597012e-37,2.3408175681918397,2.0535898544278117,2.668218717452849
4,sex,0.002334189369349176,0.11573938441856367,0.020167632488071113,0.983909648164467,1.0023369157102078,0.798903589787806,1.2575726350939311
4,fas,0.07906222878965725,0.058916420494911366,1.3419387689461868,0.17961584998965469,1.0822716684308584,0.9642410580820372,1.2147501441371515
