term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6093563103178976,0.04928597298451115,-12.363686327332868,1.3437114590711916e-34,-0.6093563103178976,-0.7059568173675395,-0.5127558032682558
profile1,0.050844705497592436,0.1667644083464611,0.3048894305549905,0.7604633333567263,0.013426617121510408,-0.3134316232375534,0.3402848574805742
profile2,0.7008965658214369,0.14233093218095405,4.924414918679406,8.739778994115308e-7,0.21901832402848523,-0.05995030304618473,0.49798695110315516
profile4,0.29136913286894206,0.16900980914163483,1.7239776457280465,0.08477504320218937,0.07428595054269478,-0.2569732753749095,0.40554517646029903
age,0.06315959440561965,0.014476757592023113,4.3628273806574915,1.3103428824269205e-5,0.06321464172050283,0.034840196840137526,0.09158908660086812
sex,0.30383369418081674,0.031084364284878544,9.774486342917465,2.318282062280673e-22,0.1522086879153739,0.09128333391701196,0.21313404191373583
fas,0.00776985399079064,0.013529941673306312,0.5742710632759085,0.5658107857664207,0.007777528927441853,-0.018741156752238516,0.034296214607122226
profile1:sex,0.30635252050475165,0.10299989792279217,2.974299263232191,0.0029509250006728507,0.1311001593352112,-0.07077964059346142,0.33297995926388385
profile2:sex,0.04615116168834094,0.08753137084934234,0.5272528150824419,0.5980419405156229,0.02367785764399045,-0.14788362922072054,0.19523934450870142
profile4:sex,0.03690004708677812,0.10651042125543318,0.3464454149353561,0.7290228963620378,0.014995632894788596,-0.19376479276586045,0.22375605855543762
