term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.14302812630375736,0.046416471281271174,3.081408869645559,0.002069300821216547,0.14302812630375736,0.052051842592465855,0.23400441001504885
profile1,0.2951469863644693,0.13813650571593675,2.1366327809927967,0.03266703742312403,0.08258313216188735,-0.18816441904134867,0.35333068336512335
profile3,-0.2379278925251686,0.13921913624802548,-1.7090171576793063,0.08749798752611875,-0.070039817201404,-0.34290932424753395,0.20282968984472594
profile4,-0.21892347601344167,0.1266303767022083,-1.728838543442664,0.08388794620118409,-0.06718294300324214,-0.3153784813395704,0.18101259533308617
age,-0.10088200328961804,0.013149250332241501,-7.672072607991871,1.9545088052536196e-14,-0.10096847907364445,-0.1267410097248378,-0.07519594842245111
sex,-0.01801625418880054,0.028932579161597874,-0.6226978275311681,0.5335060900578548,-0.009016134473661805,-0.06572398963039364,0.047691720683070024
fas,0.12953803294514324,0.012231590319783697,10.59044895704404,5.50564380358471e-26,0.12978500315556418,0.10581108612878815,0.15375892018234022
profile1:sex,-0.4830950371870381,0.08859854515726905,-5.452629457171201,5.155358734604667e-8,-0.21007090660347444,-0.3837240551117218,-0.0364177580952271
profile3:sex,-0.10869908841105749,0.08480668114162872,-1.281727889215804,0.19998620993485222,-0.052932921947379676,-0.21915401698497194,0.11328817309021261
profile4:sex,-0.1127249543551852,0.08090058856911936,-1.393376196007226,0.16355617775976639,-0.054332113411587696,-0.21289726700706163,0.10423304018388624
