term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5772012693489386,0.045522614828412494,-12.67944013156037,2.7728280870503692e-36,-0.5772012693489386,-0.666425594412627,-0.48797694428525007
profile1,-0.1508543443506598,0.22880411887240884,-0.6593165590466611,0.5097229174792732,-0.02949023864853978,-0.4779463116384611,0.4189658343413815
profile2,-0.39244026007275956,0.3335089185622577,-1.1767009463031823,0.2393709836901242,-0.05274057537779249,-0.7064180557598175,0.6009369050042325
profile4,-0.5197390798959455,0.17209793476934393,-3.020019273284896,0.002540374655675244,-0.12495998306246119,-0.4622719352103753,0.2123519690854529
age,0.12945917276152694,0.014220518986175976,9.10368833144392,1.2370039012194658e-19,0.1293216523658172,0.10144943515291228,0.1571938695787221
sex,0.3596924563666583,0.028826810501518342,12.477705653482298,3.294381093476842e-35,0.17988920389247284,0.12338865530949689,0.2363897524754488
fas,0.00347079366118208,0.013610573269402194,0.25500716189410916,0.7987280703480172,0.0034508011874052253,-0.023225922420623074,0.030127524795433527
profile1:sex,0.29035128460610665,0.13966784092731294,2.0788700009847907,0.03768023494987741,0.09324300669573643,-0.18050596152179693,0.3669919749132698
profile2:sex,0.32499078562308265,0.2031599168241608,1.5996796548423922,0.10973293645330673,0.07177030879919025,-0.3264231281761649,0.46996374577454536
profile4:sex,0.6595807592196319,0.11468119624568562,5.751429012011599,9.375855578850526e-9,0.23699112624067148,0.012215981599127651,0.46176627088221534
