term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.24892724388107834,0.04618425569401497,5.389872374046658,7.370857712515367e-8,0.24892724388107834,0.15840610272080902,0.33944838504134767
profile1,0.07070963433062374,0.2340586764431019,0.302102171152851,0.7625866032856286,0.013743361311736457,-0.44501164451674324,0.4724983671402162
profile2,0.3282364004152606,0.3350740886399149,0.9795935034773686,0.3273336825603129,0.04408538184351115,-0.612659831890722,0.7008305955777444
profile4,0.14313696915934915,0.17618705003438387,0.8124148121636362,0.41659189910451555,0.03422130411218508,-0.3111053139552073,0.3795479221795775
age,-0.10894035274802216,0.014436165628154854,-7.546349602387202,5.277794389156436e-14,-0.10904647014362094,-0.13734135477480444,-0.08075158551243743
sex,-0.14211168634501417,0.02930053944019706,-4.850138907342192,1.270766681476977e-6,-0.07108423072162515,-0.1285132880244114,-0.013655173418838908
fas,0.039582109473719755,0.01378695181694547,2.8709833761128833,0.004108972366164975,0.03952292841095391,0.012500502849740788,0.06654535397216703
profile1:sex,-0.16872864899299816,0.14289502545660562,-1.1807874238717828,0.2377427247626634,-0.053872190838581274,-0.3339464407335283,0.22620205905636573
profile2:sex,-0.39315389546626645,0.20601346961321035,-1.9083892728199359,0.056397497318795405,-0.08595604062554428,-0.4897424410674366,0.317830359816348
profile4:sex,-0.397205486096604,0.11717456608065385,-3.3898609517631892,7.046339354489559e-4,-0.14222206062792359,-0.37188421014600515,0.08744008889015797
