term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5866827915940025,0.020671484025332514,-28.38126139734495,1.6357922430700084e-174,-0.5866827915940025,-0.6271989002836542,-0.5461666829043508
profile2,-0.10363702914780412,0.07272787289130814,-1.424997391339765,0.15417002871776456,-0.02693149715419085,-0.1694781280211548,0.1156151337127731
profile3,0.02733647629683768,0.11555516832909886,0.23656645299484946,0.8129950226315625,0.004584005262526763,-0.221904124662507,0.2310721351875605
profile4,0.1415438995851896,0.09267296046599212,1.5273484182814197,0.12668663106180283,0.02921577469627346,-0.1524232278170711,0.210854777209618
age,0.060037614875152766,0.006397656212822764,9.384314017189595,6.836399618174597e-21,0.06025307783068403,0.047713671653551414,0.07279248400781665
sex,0.3530703586123672,0.012979460424836376,27.20223700029642,1.1197268914432114e-160,0.17717778613880297,0.15173804370612368,0.20261752857148227
fas,-0.0014234673624663268,0.006022461164594874,-0.23635974123580458,0.8131554058199106,-0.0014245896247011543,-0.013228613507307106,0.010379434257904798
profile2:sex,0.3445401833810082,0.046505955433149324,7.408517472053071,1.316279782450065e-13,0.1397380158834498,0.048586343234477136,0.23088968853242248
profile3:sex,0.18486829172066183,0.07197421639848403,2.5685349694832613,0.010218502729566535,0.049813767420231116,-0.09125569672079759,0.1908832315612598
profile4:sex,0.11486930385891962,0.05847546864667823,1.9644015946752897,0.04949423513979185,0.037673299719273384,-0.07693861882821594,0.15228521826676272
