term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.1303399695168933,0.020556143707313228,6.34068195731296,2.3253092302347709e-10,0.1303399695168933,0.09004992785055937,0.17063001118322724
profile2,0.1901467158621852,0.07238027667893944,2.6270515199275604,0.008617913333127506,0.049374989086857876,-0.09249035320386341,0.19124033137757918
profile3,-0.05139519402640141,0.11486971110918415,-0.4474216356089732,0.6545744078146805,-0.00860143746264846,-0.2337460712366494,0.21654319631135246
profile4,-0.14922134939484705,0.09228316260734844,-1.6169943159594822,0.10589171491925638,-0.03078741704478665,-0.2116624157551896,0.15008758166561628
age,-0.13989243873639473,0.006366900482504666,-21.97182744112291,5.014143391958247e-106,-0.14039319125485267,-0.15287231620056183,-0.1279140663091435
sex,-0.05113743445387788,0.012916511147968032,-3.959074851410057,7.54420409071431e-5,-0.025657890925775348,-0.05097425277579269,-3.415290757580042e-4
fas,0.13658358643424476,0.005987217002051174,22.81253316648658,4.615852545299228e-114,0.13681412963946105,0.12507918431544074,0.14854907496348135
profile2:sex,-0.39927533621135974,0.04632182006372577,-8.619595164051615,7.097135161645786e-18,-0.16167624282628398,-0.2524670101511865,-0.07088547550138148
profile3:sex,-0.19107252411347006,0.07173636764582594,-2.663537761722562,0.007737168089422216,-0.051245809970712757,-0.1918490905565316,0.08935747061510607
profile4:sex,-0.1097232679508501,0.05821740945998499,-1.884715739992983,0.059479439371768604,-0.03597971789450378,-0.15008584043607437,0.0781264046470668
