term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6571940832307763,0.05524789268290594,-11.895369240646467,4.0109757548949425e-32,-0.6571940832307763,-0.765479952889272,-0.5489082135722807
profile1,0.17002263643556956,0.16792592679072008,1.0124859197440221,0.31136323707095687,0.047252128353333894,-0.28188268815647743,0.3763869448631453
profile2,0.6653594719387571,0.16899687593106463,3.937111075415165,8.37845799627822e-5,0.1849145021408413,-0.1463193746840454,0.516148378965728
profile4,0.9352555640883056,0.12461254118118262,7.505308496425525,7.417960218806304e-14,0.35627652829091927,0.11203594757580135,0.6005171090060372
age,0.08521317426770984,0.01499741098748515,5.6818589781141196,1.421211285810314e-8,0.08508440389908947,0.05568947836361858,0.11447932943456036
sex,0.2823858288905738,0.035020218949416274,8.063508377787588,9.547294931149458e-16,0.14100315179751596,0.07236352265666007,0.20964278093837185
fas,0.0183921497027317,0.014277354863027367,1.2882042842795765,0.19774477569696047,0.01827309518767245,-0.00971052034386119,0.04625671071920609
profile1:sex,0.1546884483676632,0.10376023987527792,1.4908258553912568,0.13608120758875236,0.07000602610795696,-0.13336404404758778,0.2733760962635017
profile2:sex,0.02689657424217441,0.10392490718044349,0.25880777738366634,0.7957960519262663,0.012229274168312064,-0.19146354390535716,0.2159220922419813
profile4:sex,-0.10837209294998085,0.07642812075509077,-1.4179609792742724,0.1562752479087004,-0.06852907704617778,-0.2183281937261557,0.08127003963380014
