term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6283402825235701,0.053840813956500505,-11.670334015217968,5.335272454918967e-31,-0.6283402825235701,-0.7338682778783111,-0.5228122871688291
profile1,0.143656801065994,0.16386374977597037,0.8766844482833895,0.3807075359151981,0.03993528976919355,-0.2812376597917084,0.36110823933009545
profile2,0.4599768316552398,0.16499628303970312,2.787801174554674,0.005330263672003322,0.12770801839401794,-0.19568469636380018,0.4511007331518361
profile4,0.9500788305925728,0.12123379531925393,7.836749052445812,5.799279007815002e-15,0.3624397704551431,0.12482153162940537,0.6000580092808808
age,0.08705483705343812,0.014609085569776371,5.958951820608079,2.7438972992366856e-9,0.08699084088140459,0.0583570331646429,0.11562464859816628
sex,0.23854142217286534,0.03412085336891162,6.991074331986272,3.15327289502568e-12,0.1192023383634978,0.052325465760431025,0.1860792109665646
fas,-0.008374287061727988,0.013918920951104299,-0.6016477204767507,0.5474407024298216,-0.008323251926987333,-0.03560433699115176,0.018957833137177096
profile1:sex,0.22806254825782518,0.10117568629750251,2.2541240549356654,0.024239019960947572,0.10332714147136478,-0.09497720367174013,0.3016314866144697
profile2:sex,0.10433529950799962,0.10143895030861526,1.0285526337819209,0.30374839538754583,0.047398425508038286,-0.1514219170968476,0.2462187681129242
profile4:sex,0.017659016872287603,0.07439797574717828,0.23735883530349094,0.8123898465142378,0.0111748253712806,-0.13464520709318883,0.15699485783575
