term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3493050761485387,0.05917576205564324,5.9028403524416895,3.85650690324329e-9,0.3493050761485387,0.23332058251947793,0.4652895697775994
profile1,-0.09147236468201554,0.17867112507006508,-0.5119594150769748,0.6087064793681864,-0.025526751681061353,-0.3757221568183889,0.3246686534562662
profile2,-0.14082630956552047,0.18156379504218367,-0.7756299075639037,0.43801144672598835,-0.03899858128640733,-0.39486361956908733,0.3168664569962727
profile4,-0.427525415105535,0.13421495812666603,-3.1853782996531264,0.0014562884806678194,-0.16199825940463153,-0.42505957733289695,0.1010630585236339
age,-0.021015332944435056,0.016035263038527647,-1.3105698917405895,0.19007517158266313,-0.020942821500831838,-0.05237193705634603,0.010486294054682353
sex,-0.153588972062171,0.037417506088977884,-4.104735673642715,4.125079013591628e-5,-0.07667152811492924,-0.15000984004932588,-0.003333216180532589
fas,0.06322524706695894,0.015286637982399796,4.135981184335827,3.6038994939633356e-5,0.06279045998536772,0.03282864953986413,0.09275227043087132
profile1:sex,-0.09517305501563186,0.11051020258064584,-0.8612150986347025,0.38916901903227363,-0.04319488465401157,-0.25979488171207743,0.17340511240405426
profile2:sex,-0.21143945888736917,0.1116000274014194,-1.8946183420442417,0.05821198617836821,-0.09586905918186765,-0.3146051128886497,0.12286699452491438
profile4:sex,0.06787439327999212,0.08220551970328842,0.8256671027076662,0.4090401126223242,0.04272385657561705,-0.11839896204282824,0.20384667519406235
