term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.1495725847064826,0.057465010589205466,2.6028462045490186,0.009277800768454234,0.1495725847064826,0.03694116395163989,0.26220400546132533
profile1,0.27083254736006324,0.17514375328769993,1.5463443158899313,0.12209666824558815,0.07546730672301429,-0.2678144497208776,0.41874906316690613
profile2,-0.09582464230492015,0.17549224038576955,-0.5460335003660393,0.585071869346808,-0.026565643734870737,-0.37053043489097903,0.31739914742123754
profile4,-0.2576626154684829,0.12981493321594811,-1.984845726799853,0.047226501657376525,-0.09813718153428036,-0.35257445063753867,0.15630008756897795
age,-0.0788251308036964,0.01558661428976274,-5.057232400718904,4.4350221883251657e-7,-0.07866237314042297,-0.10921213714835794,-0.04811260913248801
sex,-0.0019836641618179544,0.03642832965907198,-0.05445388741078195,0.9565761327989633,-9.908129804894342e-4,-0.07239033911227051,0.07040871315129164
fas,0.16239547570523305,0.014927587670829433,10.878882729496624,3.336522637629457e-27,0.1606437608232872,0.13138568898846154,0.1899018326581129
profile1:sex,-0.3960162956336535,0.10781140667544994,-3.6732318763431135,2.4248120485857754e-4,-0.18044118546384813,-0.39175154254773004,0.030869171620033747
profile2:sex,-0.22600762761640292,0.10828688784205358,-2.087119060491016,0.03693743122226188,-0.10215743746018804,-0.314399737630613,0.11008486271023696
profile4:sex,-0.1365515377559774,0.07956208860370924,-1.7162890033735398,0.08618279397538268,-0.08641010572406718,-0.24235179938733728,0.06953158793920292
