term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6191907546661025,0.02311532356400281,-26.787025193554296,3.134296494672271e-156,-0.6191907546661025,-0.6644967888515481,-0.573884720480657
profile1,0.21704161880274983,0.06330570861762873,3.428468356838048,6.078108127983148e-4,0.03595626448910814,-0.08812292440144417,0.16003545337966044
profile2,0.2597880072047058,0.06287876986711816,4.131569490842718,3.612690148131646e-5,0.0527659320486366,-0.07047645689091497,0.1760083209881882
profile4,0.21330696910551789,0.04862764458472986,4.386537142136243,1.1556079979444174e-5,0.04898399013386134,-0.04632619325220919,0.14429417351993187
surveyyear2006,0.10138427264860463,0.0217945050801032,4.651827250767034,3.304065984567748e-6,0.036798093837382494,-0.005919136119619778,0.07951532379438477
surveyyear2010,0.13314736349380904,0.022745012728004305,5.853914661910663,4.851163310216687e-9,0.04646558724274985,0.0018853622958614133,0.09104581218963828
surveyyear2014,0.03769153414789019,0.021823413161815203,1.7271145383362723,0.084157367018481255,0.013951502308099068,-0.028822387489058732,0.05672539210525687
surveyyear2018,0.08275811719659801,0.01883814446546254,4.393114053686392,1.1212028544506354e-5,0.04005935397325982,0.0031365908209532375,0.07698211712556641
age,0.09009896125009742,0.0058507788885620296,15.399481499161801,2.6375473653859535e-53,0.09002584278957519,0.07855831616799361,0.10149336941115678
sex,0.33198456420475875,0.01120676822366696,29.62357725072414,4.03183868359592e-190,0.16602750306143127,0.14406223734304402,0.18799276877981852
fas,-0.02141632414483159,0.006001815001879009,-3.568307943201633,3.5985306936556433e-4,-0.02140865881428266,-0.03317221621796552,-0.009645101410599802
profile1:surveyyear2006,0.11441905447748553,0.09993533403599032,1.1449309253950068,0.2522468872405876,0.008402454913459778,-0.18747079979708126,0.20427570962400082
profile2:surveyyear2006,0.07308006635723652,0.09110984325499623,0.8021094510359504,0.4224959889381926,0.006340276023685618,-0.172235016756107,0.18491556880347823
profile4:surveyyear2006,0.09177758943091943,0.07277723514699895,1.261075516891273,0.20729142694796504,0.009747371441848455,-0.13289600944626948,0.15239075232996638
profile1:surveyyear2010,0.10602579215808032,0.09856592411014999,1.0756840471519724,0.28207721724059703,0.007996951453043081,-0.1851922598028509,0.20118616270893705
profile2:surveyyear2010,0.005568581164062485,0.09594250918106954,0.05804081226970062,0.9537165055777495,4.3899139671827196e-4,-0.18760832659817803,0.18848630939161456
profile4:surveyyear2010,0.20315617220112017,0.07206892000375649,2.8189151743987693,0.004821773805841964,0.0220984049724828,-0.11915667823487991,0.16335348817984552
profile1:surveyyear2014,0.15041517731383497,0.1109039518927849,1.3562652614872288,0.17502497017434307,0.009325572551460791,-0.2080461731583976,0.2266973182613192
profile2:surveyyear2014,0.06189277756405929,0.09639519321505473,0.6420732766827739,0.5208305021410815,0.004814313430513063,-0.1841202652709942,0.19374889213202032
profile4:surveyyear2014,0.358792796384931,0.08691069516771444,4.128292791727839,3.6645185710813175e-5,0.028210079607494734,-0.14213488292122556,0.198555042136215
profile1:surveyyear2018,0.37137083838853374,0.10214250982843578,3.635810780568333,2.7757015364380047e-4,0.025993305983346815,-0.17420601328038732,0.22619262524708095
profile2:surveyyear2018,0.08492141098068026,0.07846362122356514,1.0823029788379899,0.27912660402337147,0.010244100650589588,-0.14354459694759808,0.16403279824877726
profile4:surveyyear2018,0.431607161062211,0.07198566034177133,5.995738026338018,2.04871308605228e-9,0.04557445693672463,-0.09551743733314716,0.18666635120659641
