term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.23527948424209733,0.022995570234219227,10.231513367386857,1.571032477349955e-24,0.23527948424209733,0.19020816658302764,0.280350801901167
profile1,-0.20621002282812223,0.06356275804414423,-3.2441956449547034,0.0011791083509303342,-0.033909668729129046,-0.15849267449565174,0.09067333703739364
profile2,-0.23346408569559918,0.06265276982263496,-3.726317070362852,1.9465192462013128e-4,-0.04738488655722121,-0.17018431540958573,0.0754145422951433
profile4,-0.20661326270367555,0.04839430755005626,-4.269371195981403,1.966226012927422e-5,-0.04723798888679148,-0.14209083168490175,0.04761485391131878
surveyyear2006,-0.11185754153584881,0.021735214361057405,-5.146373975324668,2.672306733436542e-7,-0.04044585742070906,-0.08304687756838158,0.002155162726963457
surveyyear2010,-0.06300767978276559,0.022739076443226536,-2.7708988067338227,0.005593597086385397,-0.02183825139249711,-0.06640684122122112,0.0227303384362269
surveyyear2014,-0.2769772532169705,0.02175142967278995,-12.733749338943749,4.782014144491473e-37,-0.10226701921169898,-0.14489982137036728,-0.05963421705303067
surveyyear2018,0.05432989403671478,0.01871161359956238,2.9035386898960667,0.0036923849794486584,0.026376467287814204,-0.010298295367328063,0.06305122994295648
age,-0.10965285405083185,0.00581044959856848,-18.871664264646064,5.560321208981725e-79,-0.10966080197739496,-0.12104928319058918,-0.09827232076420074
sex,-0.09564103796000198,0.011141361298480536,-8.584322453760254,9.56829566941325e-18,-0.04783440526590292,-0.06967147341092478,-0.02599733712088107
fas,0.1400202825492503,0.005974687334840111,23.435583270232737,2.2057403779948324e-120,0.13976219117582547,0.12805180399953886,0.15147257835211209
profile1:surveyyear2006,-0.1875221088038336,0.10024485276506671,-1.8706407723826917,0.06140455211013273,-0.013655258218497715,-0.21013516963802847,0.18282465320103303
profile2:surveyyear2006,-0.11770774661805244,0.09089113788477686,-1.2950409617191847,0.19531599846100461,-0.010166588836321658,-0.1883132190904843,0.16798004141784098
profile4:surveyyear2006,-0.1282582076855929,0.07265783967668248,-1.7652356339842268,0.07753427558949719,-0.013532013358882653,-0.1559413791251803,0.128877352407415
profile1:surveyyear2010,-0.02161907012272114,0.0990286041609566,-0.21831136877969606,0.8271879920242882,-0.0016127129553138327,-0.19570877711078877,0.19248335120016108
profile2:surveyyear2010,0.03550570103550106,0.09548042898947459,0.3718636521775062,0.70999697763487,0.00280002022202747,-0.18434162059734274,0.18994166104139767
profile4:surveyyear2010,-0.10481769142864548,0.07210803277744442,-1.45362017782619,0.1460620297278165,-0.011281640806459919,-0.15261338505025096,0.13005010343733114
profile1:surveyyear2014,-0.041237138863844475,0.11047372457355273,-0.373275536993315,0.7089460012008533,-0.0025617309689544543,-0.2190902311331178,0.21396676919520888
profile2:surveyyear2014,0.03523330124576007,0.09620094686083205,0.36624692786787116,0.7141833930603193,0.0027269162774401197,-0.1858269395697907,0.19128077212467096
profile4:surveyyear2014,-0.0198209938362373,0.0867310529288519,-0.22853399292289303,0.8192326798986873,-0.001550728466879201,-0.17154359220742893,0.16844213527367052
profile1:surveyyear2018,-0.4180974538956333,0.1022778712171583,-4.087858389308093,4.364991650322192e-5,-0.029098579165686825,-0.22956320675131708,0.17136604841994346
profile2:surveyyear2018,-0.154670467459867,0.0780232844521405,-1.9823629387806905,0.047447681509486334,-0.018718667744926608,-0.171644305271122,0.13420696978126878
profile4:surveyyear2018,-0.3002350892464155,0.07162820830397938,-4.1915761451447,2.7781081992388086e-5,-0.03167661011174562,-0.17206789838754522,0.10871467816405396
