term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5064692842458441,0.01901827823875168,-26.63065908952059,1.860285134886875e-154,-0.5064692842458441,-0.5437451095937974,-0.4691934588978908
profile1,0.026935946355601238,0.11005699130247515,0.24474543631282655,0.8066552143208993,0.004462351583852801,-0.21124935136899847,0.22017405453670408
profile2,-0.12878161660036885,0.08954001016337253,-1.438257784038633,0.15037133064880975,-0.026157027430808763,-0.20165544735101892,0.14934139248940137
profile4,0.13268464404979033,0.0787280985488775,1.6853530886105994,0.09193084293872301,0.030469812225566446,-0.12383726093023345,0.18477688538136633
age,0.08974008571545986,0.0058542007272748275,15.329178122874941,7.736131621403574e-53,0.08966725849499464,0.07819302506953599,0.1011414919204533
sex,0.3048517322496095,0.011995843368646722,25.413113766256227,5.5710630047248e-141,0.15245820850314448,0.1289463555005969,0.17597006150569205
fas,-0.011155275065927105,0.005622433251572821,-1.9840653622355633,0.04725762903874617,-0.011151282369973946,-0.022171251543056675,-1.313131968912161e-4
profile1:sex,0.2046920451708556,0.0679107207223172,3.0141344841240736,0.0025792823747778208,0.055057966058544634,-0.07804704655719708,0.18816297867428633
profile2:sex,0.28601108999831965,0.055386089090551385,5.163951719550313,2.4332895153177417e-7,0.0941960118252833,-0.014360722792197411,0.202752746442764
profile4:sex,0.17827592591938116,0.04892321513766219,3.643994480283867,2.6889077402527593e-4,0.06600779114828595,-0.02988171052153195,0.16189729281810383
