term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.30428174210840164,0.019239864408085124,15.81517081692811,4.102706578779661e-56,0.30428174210840164,0.2665716078685548,0.34199187634824846
profile1,0.0502314917414524,0.11171081908617811,0.44965646257326125,0.652961385022744,0.008284128601967998,-0.21066907680694108,0.2272373340108771
profile2,-0.08602386271020049,0.09083499138562798,-0.9470344125976466,0.3436287956231586,-0.01742395784323757,-0.19546054095906842,0.16061262527259326
profile4,-0.38135371857743167,0.07983077799417779,-4.777026206674881,1.7873838140326914e-6,-0.08723961447052936,-0.24370793933911783,0.06922871039805911
age,-0.024532615463332644,0.005924927086340467,-4.140576770959931,3.473707344572396e-5,-0.02451908508422428,-0.036131942173451594,-0.012906227994996964
sex,-0.17588324079555478,0.012144474413085528,-14.482573293253651,2.2486140521621333e-47,-0.08793910234613923,-0.11174227219578686,-0.0641359324964916
fas,0.04995051141699139,0.005695664522366041,8.769918105401581,1.8795980400837642e-18,0.049913518962751556,0.03875001649891412,0.061077021426588995
profile1:sex,-0.15139977650353822,0.06904379439076626,-2.1928078814246925,0.02832879827576812,-0.040472658339121864,-0.17579849534502373,0.09485317866678
profile2:sex,-0.0836289504212922,0.056228911350644166,-1.4872944969498176,0.1369474523868548,-0.027446447620844798,-0.13765511386810736,0.08276221862641778
profile4:sex,-0.041330843029300304,0.04971059415369784,-0.8314292704189256,0.40573772077794035,-0.015212730738319817,-0.11264549527956759,0.08222003380292796
