term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6279256315700414,0.025599510917693247,-24.528813600733564,5.614637535005381e-131,-0.6279256315700414,-0.6781006729687202,-0.5777505901713627
profile1,0.12384349023225699,0.06452575529107074,1.919287727413782,0.05496179933195623,0.02452353447206014,-0.10194694589843852,0.1509940148425588
profile3,0.39722283764587346,0.054587982562507936,7.276745155236671,3.543001096331867e-13,0.08830774569744075,-0.018684700125074796,0.1953001915199563
surveyyear2006,-0.0979528619228016,0.020552133525473023,-4.766067805145166,1.891442676213263e-6,-0.043843808017320116,-0.08412598972724725,-0.0035616263073929913
surveyyear2010,-0.10604287588028981,0.022665414537373585,-4.678620622862775,2.9065542396309357e-6,-0.04197764944797023,-0.08640186194122246,0.002446563045281999
surveyyear2014,0.12306282104512223,0.023244234896306018,5.294337352643059,1.206792104144645e-7,0.046465264945392826,9.065645486330334e-4,0.09202396534215262
surveyyear2018,0.17507024377496838,0.024349724784642715,7.189824333677256,6.710422227194224e-13,0.06138687992723825,0.013661419349338531,0.10911234050513796
age,0.02412356203868293,0.00706400496394203,3.414997888849289,6.390608788480356e-4,0.024168444101079597,0.010322994371753219,0.03801389383040597
sex,0.38549204352742555,0.013490214080958077,28.57568020892726,3.794444205593512e-176,0.19322057113019217,0.16677975153151434,0.21966139072887
fas,-0.008667522305593504,0.0070374576946603115,-1.2316269143855754,0.21810261285640922,-0.008675590348104315,-0.022469007429638525,0.005117826733429896
profile1:surveyyear2006,0.3030477644268099,0.08926132436423306,3.39506238099511,6.874304350566773e-4,0.03370573332914579,-0.14124646242475103,0.2086579290830426
profile3:surveyyear2006,0.19720715531162572,0.07788924471931166,2.5318919964148874,0.01135229821730567,0.024265814594885898,-0.12839710505496496,0.17692873424473674
profile1:surveyyear2010,0.15951568473460676,0.10016787854029331,1.59248340944388,0.11129154885071163,0.01430311083093676,-0.1820259311080381,0.21063215276991165
profile3:surveyyear2010,0.05509284917175771,0.0867834202232449,0.6348315038752197,0.5255454002776407,0.005606054991725893,-0.1644894486458341,0.17570155862928588
profile1:surveyyear2014,0.2713903595018763,0.10707523626695324,2.5345763312187604,0.011265716011146685,0.021783034733414655,-0.1880844283498137,0.231650497816643
profile3:surveyyear2014,0.2896671972411913,0.09871170063005541,2.934476818779418,0.0033448097902825645,0.02410870742687754,-0.16936622580803107,0.21758364066178615
profile1:surveyyear2018,0.34998657550282203,0.16136867690706286,2.1688631412922224,0.030104535855744963,0.0160682561629562,-0.300214350574887,0.3323508629007994
profile3:surveyyear2018,0.10059062754959458,0.15019942698077562,0.6697137903360271,0.5030478033975685,0.004878746183695647,-0.2895121306986246,0.2992696230660159
