term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.1190479485625121,0.05461719656746676,2.1796788565567664,0.029336688532550115,0.1190479485625121,0.011998243290277238,0.22609765383474695
profile1,-0.07889741722327077,0.14225933033513438,-0.5546027598850938,0.5791959597724987,-0.028057610832713024,-0.3068858982895764,0.25077067662415037
profile3,-0.11846312298583243,0.17409845557942022,-0.6804375293943485,0.49626500680425123,-0.031670401701076344,-0.37290337463673995,0.3095625712345873
profile4,-0.016530944885973856,0.19257332177473563,-0.08584234167862087,0.9315958425307566,-0.003818719155754225,-0.381262429834236,0.3736249915227276
age,-0.12375625595018407,0.01515614713502379,-8.165416635749082,4.195832819865629e-16,-0.12371756516364091,-0.15342361354828754,-0.09401151677899428
sex,0.017887290304766473,0.034242990913998926,0.5223635502427431,0.6014448054341819,0.008932957831148834,-0.058183304360289054,0.07604922002258672
fas,0.1717683581630206,0.014542668542658168,11.81133693992754,1.0781018152896262e-31,0.17161620456521376,0.14311257422160376,0.20011983490882376
profile1:sex,-0.2989510155379312,0.08476250898785109,-3.5269250415980427,4.2491521737064643e-4,-0.18144892863215725,-0.34758344624834536,-0.015314411015969115
profile3:sex,-0.2307287701007992,0.10949669160549988,-2.107175721181424,0.03516154265855836,-0.0982965540345637,-0.3129100695813435,0.11631696151221607
profile4:sex,-0.33408389492811313,0.1291228757024959,-2.58733313605759,0.009705524609971886,-0.11444811569676054,-0.3675289520736525,0.13863272068013138
