term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5951404593627764,0.05428866763207524,-10.962517323065615,1.4163495548512601e-27,-0.5951404593627764,-0.7015462479216439,-0.4887346708039089
profile2,0.6322295191518127,0.12329709922403392,5.127691755367543,3.0712617732290534e-7,0.24843039300222178,0.006768078523115284,0.49009270748132827
profile3,0.08517248028417927,0.2612777207011735,0.3259844737454368,0.7444530656003036,0.014730104298368175,-0.4973742282759319,0.5268344368726683
profile4,-0.35469952454635856,0.21722119807857257,-1.6328955354442791,0.10256926476433118,-0.07640913891708787,-0.5021626871510901,0.34934440931691435
age,0.05544498682697751,0.015149678412120988,3.659812790654154,2.556393249834712e-4,0.0555077899056322,0.025814420217875066,0.08520115959338934
sex,0.28141357151415897,0.034565585855652406,8.141437922949025,5.159560995602385e-16,0.140928945648748,0.07318039737166929,0.2086774939258267
fas,-0.0023307352842501573,0.01480265152161818,-0.1574539048525388,0.874895038934649,-0.0023340355841551218,-0.03134723256652675,0.026679161398216508
profile2:sex,0.03357379849330011,0.07626788301550474,0.4402088686069179,0.6598094981593419,0.02172091078273821,-0.1277641399276511,0.17120596149312753
profile3:sex,0.3451503424949178,0.17432193192181752,1.9799593699415625,0.04777616585586424,0.08936955642164572,-0.25230143014511663,0.4310405429884081
profile4:sex,0.5793416739390286,0.1381284820612047,4.194223126858966,2.7970995227353557e-5,0.19662299653449333,-0.07410882830546789,0.46735482137445455
