term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.7073942896896493,0.05126537494513048,-13.798675820605546,2.375001705321697e-42,-0.7073942896896493,-0.8078744245821051,-0.6069141547971936
profile2,0.8181690348597657,0.116369851097622,7.0307646451606125,2.403538947344914e-12,0.32147655506461975,0.09339164691328064,0.5495614632159589
profile3,0.5279395841891141,0.24629147218970626,2.1435560861907073,0.03212843631851724,0.09136789571366949,-0.39136338977815477,0.5740991812054937
profile4,-0.2061925982971013,0.20476824774082544,-1.0069559151479317,0.31401670094072626,-0.044447790605016475,-0.4457935561770343,0.3568979749670014
age,0.09678777803427226,0.01429881030710732,6.768939230291294,1.4855310356115288e-11,0.09683108646384672,0.06880541826191637,0.12485675466577707
sex,0.3138812573061591,0.032630638478751514,9.619218989862945,1.134772302624106e-21,0.15710939428438317,0.0931533428660302,0.22106544570273612
fas,-0.04778793731684518,0.013986526481216649,-3.4167123181743864,6.401248322566674e-4,-0.04777739110546103,-0.07519098300864566,-0.0203637992022764
profile2:sex,0.10252491769682809,0.07195404461821638,1.4248666387111224,0.1542735570842065,0.0663531669779386,-0.0746767604737655,0.2073830944296427
profile3:sex,0.06589985634856434,0.16432079225408175,0.40104393025726404,0.6884091431311865,0.017075386439225744,-0.3049933663787745,0.339144139257226
profile4:sex,0.560621648054685,0.13020803503530462,4.305584120846905,1.7052571458475174e-5,0.19039903066114988,-0.06480871800804716,0.4456067793303469
