term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.4253085562821871,0.0558703847636765,7.612415022398355,3.3298924165412216e-14,0.4253085562821871,0.3158026021453812,0.5348145104189931
profile2,-0.5592473139921118,0.12724077676493448,-4.395189405557224,1.1352462618013957e-5,-0.2190567517774269,-0.46844867423669845,0.030335170681844686
profile3,-0.22145204357904807,0.2656958951824593,-0.8334793558890777,0.4046238068613709,-0.038630580508925635,-0.5593945350665458,0.4821333740486945
profile4,-0.13237889357061752,0.22463938263884187,-0.589295127219283,0.5556963287273646,-0.02843382072952154,-0.4687270107016516,0.4118593692426085
age,-0.04517632942188332,0.015604413131157896,-2.895099549221631,0.0038107462725615387,-0.045164017429946204,-0.07574866716701568,-0.014579367692876728
sex,-0.1961569327036389,0.03559705986631329,-5.5104812993072185,3.802058836501043e-8,-0.0980730015937912,-0.16784323893176525,-0.028302764255817153
fas,0.0567452760934624,0.015258962253838312,3.7188162045022706,2.0288011828466365e-4,0.05669046220227748,0.026782896184754393,0.08659802821980057
profile2:sex,0.04893234903914272,0.07868878431135823,0.621846549891096,0.5340779329350911,0.031567846290381035,-0.12266217095988108,0.18579786354064315
profile3:sex,-0.2249659802102401,0.17838939712530777,-1.2610950192976722,0.20734757684434332,-0.05837299700708364,-0.4080162153726869,0.2912702213585196
profile4:sex,-0.2397516328281198,0.14243481802605995,-1.6832375408676739,0.09240653194852548,-0.08138136611665125,-0.36055360944772874,0.19779087721442623
