term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5821738967301784,0.026237714429549697,-22.188437879883196,7.39254853287454e-108,-0.5821738967301784,-0.6335998170120958,-0.530747976448261
profile1,0.47211669034626946,0.07422548735487322,6.360573802487441,2.0508594733485156e-10,0.08326918598720895,-0.06221276922834257,0.22875114120276047
profile2,0.4306360647020372,0.05702716961343977,7.551419220366635,4.4784592527050396e-14,0.09552216642173966,-0.01625108602060228,0.2072954188640816
profile3,0.386740265838907,0.06605207854900555,5.855080935143858,4.837741743935401e-9,0.07839477236891267,-0.05106730158713822,0.20785684632496354
surveyyear2006,-0.1114507645162891,0.02302631471024497,-4.840147714419188,1.3065075789429343e-6,-0.04525891584003399,-0.09039049267211413,-1.2733900795385e-4
surveyyear2010,-0.043014320125806346,0.02359022835558821,-1.8233956652486931,0.06825748864688604,-0.017125909894581577,-0.06336275747153447,0.029110937682371316
surveyyear2014,0.011188185148144578,0.023547892495856558,0.4751246910997759,0.6347029701861812,0.00437772987307042,-0.041776139418808436,0.05053159916494927
surveyyear2018,0.1921724059837244,0.023319238788140417,8.24093821113314,1.806304092173626e-16,0.0796113306905364,0.033905622665781184,0.12531703871529162
age,0.1126041677553654,0.006843718676596603,16.453652330923063,1.8639775964264515e-60,0.11264364766497267,0.09922995905884333,0.12605733627110202
sex,0.3381704466046715,0.013148444388956555,25.71942631393738,1.1004579065563792e-143,0.16914922766278,0.14337827666042516,0.19492017866513486
fas,-0.0736415994850799,0.0070473731805823035,-10.449510420135734,1.69747136351469e-25,-0.07364448185455871,-0.08745733328850003,-0.0598316304206174
profile1:surveyyear2006,0.05195169512400742,0.10600168139622435,0.49010255723979373,0.6240663744627366,0.004567035244505317,-0.2031962602920944,0.21233033078110505
profile2:surveyyear2006,0.036667920377204496,0.0783091474515806,0.4682456848336482,0.6396136946897641,0.0045942417863250136,-0.14889168721877297,0.15808017079142297
profile3:surveyyear2006,0.026236474211061105,0.09669648423240065,0.2713281089724449,0.7861413175015941,0.00247896147965729,-0.18704614761584798,0.19200407057516256
profile1:surveyyear2010,-0.0434164172537301,0.10895049516736464,-0.39849674099264837,0.6902680528032478,-0.003617445945214461,-0.21716041647324916,0.20992552458282024
profile2:surveyyear2010,0.08220509880293177,0.08537515382216944,0.9628691149905196,0.33562413674787805,0.008638292500933085,-0.158697008990519,0.17597359399238519
profile3:surveyyear2010,-0.021778179771071486,0.09909619901931882,-0.2197680636249815,0.8260538982184986,-0.0019652999647866,-0.19619385004265147,0.1922632501130783
profile1:surveyyear2014,-0.11814753809480376,0.1255721663985764,-0.940873614617699,0.34678029607110594,-0.0077036058205143445,-0.2538250519617241,0.2384178403206954
profile2:surveyyear2014,-0.02946581977501246,0.10398608352388009,-0.28336310760512223,0.7769012584807843,-0.0022409926323140148,-0.20605371633911898,0.20157173107449097
profile3:surveyyear2014,0.0770350421551969,0.11528362306124397,0.6682219044614197,0.503999192860769,0.005393721081807691,-0.22056218011823048,0.23134962228184586
profile1:surveyyear2018,0.007693828195149587,0.12034842046648693,0.063929615073694,0.9490268707390885,5.361359062367438e-4,-0.23534676820807762,0.2364190400205511
profile2:surveyyear2018,0.39262088502403786,0.11548913590028648,3.3996347964974594,6.759956740663628e-4,0.02573983556347273,-0.20061887080108876,0.2520985419280342
profile3:surveyyear2018,0.27371000197925155,0.09348489509121909,2.927852694407749,0.0034167273966988856,0.02760253057636492,-0.1556278638024245,0.21083292495515432
