term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.10499081558800209,0.026796522819941278,3.9180760986597356,8.953671146144998e-5,0.10499081558800209,0.05246963086091719,0.157512000315087
profile1,-0.13215565491225906,0.07580255707553586,-1.7434194836009076,0.0812747698333877,-0.023290871705755944,-0.17186388357380622,0.12528214016229433
profile2,-0.23845167307206214,0.058240505272332925,-4.094258316562688,4.2508135231849116e-5,-0.05292020901448317,-0.1670715993482557,0.06123118131928936
profile3,-0.11572953918088703,0.06745607283865945,-1.7156281756527307,0.08624463498345993,-0.02347790403702017,-0.1556918068007927,0.10873599872675237
surveyyear2006,0.2728515125068054,0.023499155665413635,11.611119837313638,4.487270238434575e-31,0.11087159035096225,0.06481324524675153,0.15692993545517298
surveyyear2010,0.17511825919198398,0.024093057018615676,7.268411769277663,3.7627023275751986e-13,0.06970986077273102,0.022487469016244294,0.11693225252921774
surveyyear2014,0.22511902256710725,0.024025131477413975,9.370147371669605,7.942012271858673e-21,0.088204999039125,0.04111574134339361,0.1352942567348564
surveyyear2018,0.2064617455124132,0.023830947128554526,8.663597984531142,4.890699598133043e-18,0.08542697082000948,0.038718314448042614,0.13213562719197636
age,-0.05617692027418558,0.006983729501706758,-8.043971385268641,9.147390269008538e-16,-0.05619759844225009,-0.06988570826559534,-0.04250948861890485
sex,-0.16273178896713159,0.013418403591097236,-12.127507408936479,9.751523902989155e-34,-0.08138809883594342,-0.107688169874494,-0.05508802779739284
fas,0.11022614332402643,0.007192144801743096,15.325907133754024,9.804962228079723e-53,0.11018779072696598,0.09609118691554952,0.12428439453838244
profile1:surveyyear2006,-0.3608548037703423,0.10824723922706124,-3.3336166940332506,8.587057164419079e-4,-0.031697476605293456,-0.24386206549033349,0.18046711227974657
profile2:surveyyear2006,-0.12871346526640495,0.07996541388660977,-1.6096141945681601,0.10749690011782198,-0.016114304715487807,-0.17284651593324296,0.14061790650226735
profile3:surveyyear2006,-0.13768715110184063,0.09887543564450321,-1.3925314230410177,0.1637760430169192,-0.012965580652511778,-0.20676143451573806,0.18083027321071451
profile1:surveyyear2010,-0.26497441658883014,0.11126262602153579,-2.3815222241612575,0.017249965399943782,-0.02206019425922511,-0.24013494126143525,0.19601455274298502
profile2:surveyyear2010,-0.2515693607951908,0.08718746184200135,-2.8853846124237186,0.0039132735678401925,-0.026414686991040957,-0.19730211220136362,0.1444727382192817
profile3:surveyyear2010,-0.0048176088306281775,0.10074326319140776,-0.04782065497992588,0.9618596226361165,-4.380833151126341e-4,-0.19789487917027185,0.19701871254004658
profile1:surveyyear2014,-0.2732236236779157,0.12823390918680733,-2.1306659479583647,0.0331280736617885,-0.0178009890269583,-0.26913945103310066,0.23353747297918404
profile2:surveyyear2014,-0.17942686326029314,0.10532724337177186,-1.703518078670046,0.08848571902242514,-0.013798334733271939,-0.22023973174194478,0.1926430622754009
profile3:surveyyear2014,-0.24334014401161516,0.1177254808486422,-2.067013379409966,0.03874492509146335,-0.017024353375825682,-0.24776629583916437,0.21371758908751304
profile1:surveyyear2018,-0.330670812925584,0.12290456973842853,-2.6904680080596974,0.00714074200832811,-0.02302422196330083,-0.26391717865062075,0.21786873472401908
profile2:surveyyear2018,-0.28380068430477196,0.1179425835835603,-2.40626138313906,0.016125175409607836,-0.018590982070122043,-0.24975844589390023,0.21257648175365612
profile3:surveyyear2018,-0.039129158897626526,0.09536847065449329,-0.4102944991053283,0.6815940462476728,-0.003951810042534388,-0.19087401252534122,0.18297039244027244
