term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.059032049207887204,0.026051953460554365,2.2659356158173884,0.02346531628313313,0.059032049207887204,0.007970220425200653,0.11009387799057375
profile1,-0.3014488333081079,0.07383684058121408,-4.082634507858452,4.469049898842492e-5,-0.05306893299221813,-0.1977891405313977,0.09165127454696145
profile2,-0.312925984716681,0.0566561492749078,-5.523248380300202,3.366777357468188e-8,-0.06944007029863737,-0.18048612287745666,0.04160598228018192
profile3,-0.23968481643025064,0.06552715254882553,-3.6577938626534534,2.55008534901378e-4,-0.04858917357452538,-0.17702239257022342,0.07984404542117265
surveyyear2006,0.27771187221881827,0.022841936875595402,12.157982649690664,6.738901860672542e-34,0.11281390271072743,0.06804370643456044,0.1575840989868944
surveyyear2010,0.1593701831414631,0.023421842039465766,6.804340276606963,1.042078973493865e-11,0.06340437801276742,0.017497567615414523,0.10931118841012033
surveyyear2014,0.2008155069059942,0.023356287440379982,8.597920684894909,8.668653533481705e-18,0.07862713330901894,0.032848809925874176,0.1244054566921637
surveyyear2018,0.12312077342216073,0.023162764099156494,5.315461181364117,1.0745831085811395e-7,0.05091748953254756,0.00551847189820083,0.09631650716689429
age,-0.15462424824518492,0.006788555966530927,-22.777192823851852,1.7488752715659882e-113,-0.15460130808338368,-0.1679068777777843,-0.14129573838898307
sex,-0.11311973271921233,0.013045666411069304,-8.671058200846662,4.582219164766488e-18,-0.05654570784291947,-0.08211521400861531,-0.030976201677223633
fas,0.20510102729303728,0.006991743673085772,29.33474636413794,1.808380586352914e-185,0.204921094912828,0.1912172773135799,0.2186249125120761
profile1:surveyyear2006,-0.20110982875496006,0.1054461048762091,-1.9072286168470385,0.05650442611612253,-0.017618700263417112,-0.22429306582078695,0.18905566529395273
profile2:surveyyear2006,-0.08005500525433917,0.07764060535597282,-1.0310971287163027,0.3025069811339681,-0.010054859683924713,-0.16223044618163146,0.14212072681378202
profile3:surveyyear2006,0.01290430766334768,0.09604829652377068,0.13435228036713837,0.8931252835065532,0.0012155784681071248,-0.1870390827184834,0.18947023965469767
profile1:surveyyear2010,-0.06330816423813843,0.10840473094473206,-0.5839981676668226,0.5592277289031953,-0.005254889303287851,-0.2177281619549627,0.207218383348387
profile2:surveyyear2010,-0.022089251236246943,0.08465760263737868,-0.260924601548945,0.7941531749315054,-0.002324972270658061,-0.16825387343992027,0.16360392889860415
profile3:surveyyear2010,-0.054125270990037444,0.09786367780493012,-0.5530680248694961,0.5802226348957129,-0.004923514581692043,-0.19673632307935507,0.18688929391597098
profile1:surveyyear2014,-0.0067856918660903825,0.12425213187764741,-0.054612277178248625,0.9564478697523866,-4.446666215448816e-4,-0.24397884510173382,0.24308951185864405
profile2:surveyyear2014,0.033710452290406076,0.10291333796090675,0.32756154798138526,0.7432464185582279,0.0025729319681571934,-0.19913721043522004,0.20428307437153442
profile3:surveyyear2014,-0.23529495050563792,0.11435857827432752,-2.057519025299561,0.03964847048093473,-0.016467237256429394,-0.24061005067411134,0.20767557616125254
profile1:surveyyear2018,-0.082827901383374,0.11951032837414145,-0.6930606125026391,0.4882790705250992,-0.005769219288148817,-0.24000946290146608,0.22847102432516841
profile2:surveyyear2018,-0.2774681259311324,0.1150760581801497,-2.4111716226563877,0.01590977194321034,-0.01808383378173586,-0.24363290781482927,0.20746524025135754
profile3:surveyyear2018,-0.11129267682069398,0.0928446805642013,-1.1986973959562073,0.23065896631131544,-0.011193059994268499,-0.19316863390010305,0.17078251391156604
