y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.2934237274855747,0.12550945784481796,-26.240442625109736,9.188744401325223e-152,0.037126520462258145,0.029030093943675773,0.04748102173933038
1,age,0.7317533953824947,0.04436027453228363,16.49569131611108,3.940242467561471e-61,2.078722236104176,1.905619699585442,2.267549047595371
1,sex,-0.13261736914565267,0.07864533510270827,-1.6862712705395515,0.09174356196599982,0.875800136159924,0.7506902022700218,1.0217608757624943
1,fas,-0.10710623765883913,0.03901877776029964,-2.7449921244795195,0.006051234985904476,0.8984302207967988,0.8322827583858391,0.9698348950619308
2,(Intercept),-2.402731429868197,0.10149570380230434,-23.673232854745187,6.805028387296395e-124,0.0904705016644428,0.07415016321007492,0.11038292185854351
2,age,1.1556965862069726,0.04244151395596618,27.230333663545277,2.841600399502916e-163,3.1762351687091064,2.922709856153882,3.4517520874345062
2,sex,-0.6570295379349439,0.06579796790800078,-9.985559719011498,1.7630322527305426e-23,0.5183889042898787,0.4556667468146455,0.5897447157805722
2,fas,-0.32633130401218424,0.031310402271097194,-10.422456447115739,1.958288913540459e-25,0.7215660900862462,0.6786161061978583,0.7672344019057943
3,(Intercept),-3.0074982077614623,0.10901631040861895,-27.587598557396106,1.5674437529725944e-167,0.0494151506859615,0.039908331148720035,0.06118665068245025
3,age,0.6349349280137117,0.03731387520593289,17.016054336611955,6.24390301499512e-65,1.886899353174905,1.753826079633032,2.0300696918344636
3,sex,-0.09127807722210944,0.06833141441689265,-1.3358142517761786,0.18160999352990645,0.9127638567676439,0.7983504244965456,1.043574140699851
3,fas,-0.02795395010097381,0.034226827866790724,-0.8167262887980542,0.4140848644395229,0.9724331462183883,0.9093378945307742,1.0399063203586651
