term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.47992374323107917,0.022824132116429773,-21.027031423710074,3.5845078222163225e-97,-0.47992374323107917,-0.5246590421792815,-0.43518844428287684
profile1,0.015881219259300104,0.11931746065710969,0.1331005468255731,0.8941151168648709,0.002795887782147819,-0.23106633510578717,0.2366581106700828
profile2,-0.2164737426009198,0.09140294068100734,-2.3683454929136762,0.017876693480807886,-0.04797722693324198,-0.22712699066801634,0.1311725368015324
profile3,0.07310297813024133,0.10411876260359243,0.7021114763778324,0.4826172983818825,0.014819993064523633,-0.18925278163851753,0.2188927677675648
age,0.06510553827572921,0.0069000276411941616,9.435547458830417,4.2755333494499324e-21,0.06515276913378784,0.05162871495704728,0.0786768233105284
sex,0.289240053853626,0.01430316274024198,20.222104656604966,4.364589039295873e-90,0.14471916541945512,0.11668496644858084,0.1727533643903294
fas,-0.013626862744019192,0.006702551267189525,-2.0330859400845926,0.042056183954907185,-0.0136323365713655,-0.02676933705505697,-4.95336087674032e-4
profile1:sex,0.2523178216503647,0.07596013320504207,3.321713785957611,8.961653177967004e-4,0.069825299833245,-0.07905656124863746,0.21870716091512743
profile2:sex,0.3982641593575007,0.06228414913088839,6.3943100277497535,1.646131200201606e-10,0.12886176050702117,0.006784828210479932,0.2509386928035624
profile3:sex,0.17680008124284205,0.06597095449122944,2.6799685195754877,0.007368556158165006,0.05665002597537434,-0.07265304482743537,0.18595309677818403
