term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.514149250839112,0.022517711600743024,-22.833104000770064,5.0100546823678836e-114,-0.514149250839112,-0.5582839655765683,-0.47001453610165567
profile1,0.0703446726470039,0.11741930084010618,0.599089520578858,0.5491195544179724,0.012406982743093743,-0.21773484690351438,0.24254881238970186
profile2,-0.08198226673685576,0.09003094383188293,-0.9106009916984024,0.36251594166403833,-0.018185016000199256,-0.1946456659106898,0.15827563391029129
profile3,0.12962632724069137,0.10269135102202072,1.2622906014051254,0.20685804358082288,0.02627610133899292,-0.17499894666416768,0.2275511493421535
age,0.1145785562556401,0.006804480721544198,16.83869217130177,3.254619999324515e-63,0.11461872840143254,0.10128194618720592,0.12795551061565918
sex,0.3032642948572048,0.01410782939974849,21.496169698693073,2.0163445524806808e-101,0.1516895452214397,0.12403819959793266,0.17934089084494675
fas,-0.045898921945173546,0.0066102644950378365,-6.943583268056632,3.932631772311238e-12,-0.04590071845221102,-0.058856836862485176,-0.03294460004193686
profile1:sex,0.24853309873590942,0.0747498606400676,3.3248637068721187,8.861094506090509e-4,0.06890664277914671,-0.07760308407538577,0.2154163696336792
profile2:sex,0.38666502042058937,0.061363648234760045,6.301206521185277,3.0111763495868993e-10,0.12518472091169522,0.00491197037156553,0.2454574714518249
profile3:sex,0.22183364954999546,0.0650454769746478,3.4104392782984374,6.497852117740978e-4,0.07109539952302237,-0.056393735347287324,0.19858453439333207
