term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.17383335742301687,0.022303874131709905,7.793863810228116,6.79554952104152e-15,0.17383335742301687,0.13011776412486545,0.21754895072116828
profile1,-0.07675643587275136,0.11643017072311504,-0.6592486758031765,0.5097432166348536,-0.013512681762112396,-0.24171581637941789,0.2146904528551931
profile2,-0.010906719709058684,0.0890750660044516,-0.1224441383912487,0.902548438492045,-0.0024202636416092945,-0.17700739301033444,0.17216686572711584
profile3,-0.0516478043918502,0.1015999702312965,-0.508344680360357,0.6112169021086902,-0.010470100566712477,-0.20960604222005358,0.18866584108662865
age,-0.14440408437878507,0.006738414722554861,-21.42997875975708,8.132060985233388e-101,-0.14438266048765538,-0.15758995334386292,-0.13117536763144785
sex,-0.08578341366592544,0.013972878582258753,-6.139279974481703,8.436122481622073e-10,-0.042880969838942004,-0.07026781186016916,-0.01549412781771485
fas,0.20796266927222937,0.006549133742254573,31.75422543755186,2.985060328245736e-216,0.20778022641189517,0.1949439242770762,0.22061652854671412
profile1:sex,-0.2112237053454387,0.07412016912343354,-2.849746672780581,0.004379601015507478,-0.058452056936888735,-0.20372758841881847,0.086823474545041
profile2:sex,-0.26060276718991404,0.06070203793304101,-4.2931469199992724,1.7693627644192558e-5,-0.08441972008498613,-0.20339571443374652,0.03455627426377425
profile3:sex,-0.17977525402575362,0.06437371041309978,-2.792681249412184,0.00523197555952778,-0.05760173050032133,-0.18377420290999688,0.06857074190935422
