term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.4202823223613267,0.049282964941710854,8.527943131230298,1.9217875777221782e-17,0.4202823223613267,0.3236877110755734,0.51687693364708
profile1,-0.08380407092882246,0.14954169085103092,-0.5604060677119509,0.5752262436115002,-0.025375196012841026,-0.31847691008086165,0.26772651805517955
profile2,-0.05087505729543524,0.16210651191202272,-0.3138372215611288,0.7536570567070556,-0.012736901244356627,-0.3304656645919211,0.3049918621032079
profile4,-0.33536490976287137,0.14646666341455236,-2.2897013009279132,0.022077864232381266,-0.0984797166455131,-0.3855543769380357,0.18859494364700952
age,0.001128773188108361,0.015098262758915229,0.07476179254079032,0.9404070708168332,0.001127889942552726,-0.02846470506492112,0.030720484950026574
sex,-0.2126793590616237,0.031096977994468613,-6.8392291720261085,8.86330955202389e-12,-0.10631860285273459,-0.16726867972189308,-0.04536852598357611
fas,0.07518991988622475,0.013396341836414897,5.612720308602317,2.093158602478921e-8,0.07509408535149263,0.048837255352119434,0.10135091535086582
profile1:sex,-0.15973679986718547,0.09024188411096104,-1.7700960196129525,0.07676877936171454,-0.0808028502406751,-0.2576769430981587,0.09607124261680852
profile2:sex,-0.10734442151160035,0.114378960076152,-0.9384979671097888,0.34803144028916244,-0.037861981615723524,-0.26204474336498146,0.1863207801335344
profile4:sex,-0.16829594705043296,0.09174918970728413,-1.8343044509424333,0.06666499083465388,-0.07878114446001822,-0.2586095562862951,0.10104726736625869
