term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.146876702361714,0.04893335932857677,3.0015658924103117,0.002698953359545375,0.146876702361714,0.05096731807770352,0.24278608664572446
profile1,-0.06652013659006274,0.1841541409441533,-0.36121987943912526,0.7179500388161841,-0.01508136994957184,-0.3760234862001123,0.34586074630096864
profile2,0.27653609797836276,0.1723499753504227,1.6045032638740353,0.10866505918021865,0.07176009495842434,-0.26604585672840414,0.4095660466452528
profile3,-0.01809486758370909,0.17455103135067754,-0.10366520004889591,0.9174391186195259,-0.00452154486498386,-0.3466415663123118,0.3375984765823441
age,-0.09547311985385089,0.01493906693858099,-6.390835535202411,1.796635938372605e-10,-0.09542114048646916,-0.1247017116860879,-0.06614056928685041
sex,-0.05191132678432039,0.03028468821823456,-1.7141113162612756,0.08656902111232578,-0.02596236133222641,-0.08532035023996615,0.03339562757551333
fas,0.09235495839308075,0.013650551064752195,6.765657881135315,1.4761542009196666e-11,0.09225359528517092,0.06549851519825661,0.11900867537208523
profile1:sex,-0.16213755361933388,0.12246396251701891,-1.3239613539109638,0.18557519258865368,-0.05498809819516929,-0.29501746472852636,0.18504126833818776
profile2:sex,-0.3812620648305782,0.10580625027422873,-3.6033983232788502,3.1707799231319166e-4,-0.1615195878072193,-0.36889983834470763,0.04586066273026898
profile3:sex,-0.2899875988689546,0.10940701215643812,-2.6505394229604695,0.008061148460475152,-0.11508173317126091,-0.32951947699787965,0.09935601065535782
