term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5692993715442316,0.04326098079229671,-13.159650130854272,5.450834732392408e-39,-0.5692993715442316,-0.6540908938971332,-0.48450784919133005
profile1,-0.01879011646876899,0.21298532149162733,-0.0882225889426265,0.9297028330044476,-0.003514648322642945,-0.42096587844623246,0.4139365818009466
profile2,0.2334772735364737,0.19643154070893432,1.1885936071867018,0.2346486601209265,0.04505350117321815,-0.3399523186162931,0.4300593209627294
profile4,0.05342987769283101,0.166638694090719,0.32063307975603494,0.748500105536104,0.012526011204840344,-0.31408582921296885,0.3391378516226496
age,0.12535596115639558,0.013304248725524716,9.422250270764655,6.243345865822176e-21,0.1256024888119478,0.09952616130991936,0.15167881631397623
sex,0.33357441991797865,0.026933357421909675,12.385177781312308,8.694674062765063e-35,0.16686620590775153,0.11407682536080857,0.2196555864546945
fas,0.0037533760218146205,0.012643698331500261,0.2968574481458114,0.7665860551750712,0.003730471454516139,-0.021051177275224372,0.02851212018425665
profile1:sex,0.3929702766123142,0.13429679972950956,2.926132844593506,0.0034454643084630794,0.11660506696418811,-0.14661666050565064,0.37982679443402684
profile2:sex,0.10088551587923107,0.1361736592818105,0.7408592558304478,0.45880900314754547,0.027930954720130668,-0.23896941747221792,0.29483132691247926
profile4:sex,0.3555355211416198,0.10756042866522662,3.3054490908380085,9.540473273460983e-4,0.12862618927123412,-0.08219225091261007,0.3394446294550783
