term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.8047293984694323,0.05593948161711892,-14.385714261305639,1.8594515792860055e-45,-0.8047293984694323,-0.9143707824389853,-0.6950880144998792
profile1,0.6139093511373178,0.32572040319322687,1.8847740120631278,0.05955485896232052,0.09714105505391632,-0.5412709352048083,0.735553045312641
profile3,0.28208302683329656,0.4140716498749472,0.6812420674501328,0.4957697824223096,0.03554812162330948,-0.7760323121315871,0.847128555378206
profile4,0.4469045064665168,0.2615726147104479,1.7085294152877015,0.08763936726144744,0.09214347405685863,-0.42053885077561926,0.6048257988893365
age,0.08141612482006826,0.0172668403681745,4.715172149858463,2.522852468033473e-6,0.08193046790093832,0.0480874607793163,0.11577347502256033
sex,0.4914308352740514,0.03514764661589932,13.981898721257448,4.122451922465276e-43,0.24729407039258997,0.17840468302542728,0.31618345775975265
fas,-0.05174851963325397,0.016912836691970967,-3.0597185188822023,0.00223461762887775,-0.05189989714084308,-0.08504905705710618,-0.018750737224579983
profile1:sex,0.24459680291155622,0.2173743445863133,1.1252330783425715,0.26057835608424523,0.05788800071082587,-0.3681657146783482,0.4839417161
profile3:sex,0.18025241850851165,0.2699442503991752,0.6677394248700116,0.5043501966286694,0.03482907201368765,-0.49426165876869566,0.563919802796071
profile4:sex,0.11938452364020301,0.16430000856918148,0.7266251820670722,0.4675110677042499,0.039266753262539034,-0.28276126353305664,0.3612947700581347
