term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.42147404600186017,0.023596778252214307,17.861508104917217,6.361544524626181e-71,0.42147404600186017,0.3752243606275201,0.4677237313762002
profile1,-0.24165923968323968,0.056445039338078554,-4.2813193598079975,1.8646634809224895e-5,-0.05063131852556088,-0.16126359562819484,0.06000095857707308
profile2,-0.31036210908167566,0.06808506707391317,-4.558446108964635,5.1772498270808906e-6,-0.0503490906421552,-0.183795822107025,0.08309764082271459
profile4,-0.493973134360172,0.04641057072172545,-10.643547939153787,2.122978821026495e-26,-0.11516057308331742,-0.20612529169789928,-0.024195854468735553
surveyyear2006,-0.0890519519686725,0.021030637386050176,-4.234391489615122,2.2997312322896956e-5,-0.03548292746704301,-0.07670297674370136,0.005737121809615331
surveyyear2010,-0.1372480231929872,0.020071208582198338,-6.838054750460615,8.208585089637394e-12,-0.05955818483195775,-0.0988977536530665,-0.02021861601084901
surveyyear2014,-0.1467332759010394,0.020404755531882927,-7.1911312866142945,6.602605228696209e-13,-0.06134439197460301,-0.10133771281709354,-0.021351071132112473
surveyyear2018,-0.27464459839488686,0.024128377685566575,-11.382638400889146,6.0271838906898285e-30,-0.08936783499955142,-0.1366594552632619,-0.04207621473584094
age,-0.05928572172420116,0.006456737356337778,-9.181993699342241,4.543736657128264e-20,-0.059330981702949835,-0.07198618692137188,-0.046675776484527795
sex,-0.16253233922269453,0.012211194207168569,-13.310110089583219,2.755189267357384e-40,-0.08134105118681104,-0.10527499183286143,-0.05740711054076064
fas,0.06906310812273246,0.006304765115792808,10.954112778878354,7.325448811452385e-28,0.06897521565383402,0.05661787602688012,0.08133255528078792
profile1:surveyyear2006,-0.052728433316423295,0.08738401883301507,-0.603410486500784,0.5462410104222226,-0.004911839505140745,-0.17618451641785027,0.1663608374075688
profile2:surveyyear2006,-0.035404150368982,0.1113891083754834,-0.3178421201616729,0.7506072993193,-0.0024739724307422527,-0.22079662484668972,0.21584867998520518
profile4:surveyyear2006,0.03310361698841578,0.07215199072403164,0.45880393120449237,0.646378878640372,0.0037321312657853808,-0.13768577055331663,0.14515003308488741
profile1:surveyyear2010,-0.1608679504349628,0.08147526825427778,-1.9744390399907223,0.0483426062506422,-0.016978831607580278,-0.1766703573859647,0.14271269417080418
profile2:surveyyear2010,0.016071130412888296,0.10307212656136726,0.1559212073044776,0.8760963619555001,0.0012775364334575198,-0.2007438316268223,0.20329890449373733
profile4:surveyyear2010,-0.001658527702325283,0.07022532278329063,-0.02361723145713916,0.981158111911493,-1.9469330306582018e-4,-0.13783632595831546,0.13744693935218383
profile1:surveyyear2014,-0.03586660615385762,0.08917514657672272,-0.40220406167764955,0.687537221640973,-0.0032123029900040815,-0.17799559028038062,0.17157098430037246
profile2:surveyyear2014,-0.2200719021532142,0.10820909886478627,-2.0337652236454455,0.041985594569109976,-0.016095631351331727,-0.22818546512631283,0.19599420242364934
profile4:surveyyear2014,-0.20078788019645422,0.08381435901769317,-2.395626269170274,0.01659915669257359,-0.017721338224367642,-0.18199748189904624,0.14655480545031097
profile1:surveyyear2018,-0.2769029995120793,0.10313080061992548,-2.6849689699643426,0.007258340543012948,-0.019955876186674243,-0.22209224540172817,0.1821804930283797
profile2:surveyyear2018,-0.33441341023234317,0.15719852561658368,-2.127331722232541,0.033402091679541376,-0.014502630114382586,-0.3226117403228866,0.29360648009412144
profile4:surveyyear2018,-0.5132729460877966,0.12085905147902457,-4.246872202011916,2.1754242978409794e-5,-0.028358449657165764,-0.2652421905560539,0.20852529124172237
