term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3823382069327847,0.023452591301922246,16.30259965778055,1.8857688369767746e-59,0.3823382069327847,0.3363711279810171,0.4283052858845523
profile1,-0.27486439489659786,0.05589514438235583,-4.917500400685307,8.8198792180656e-7,-0.05787092680729985,-0.16742540979671727,0.05168355618211757
profile2,-0.3573275129910574,0.06775670137570608,-5.273685196239142,1.347961310355585e-7,-0.05837005268164534,-0.19117318737802924,0.07443308201473857
profile4,-0.46063284916878816,0.04621520860387918,-9.967126906576894,2.3414494245848545e-23,-0.10775391553172942,-0.19833572439533262,-0.017172106668126214
surveyyear2006,-0.05232123751634549,0.02088968748480443,-2.504644339672625,0.01226362142420033,-0.02095339558113749,-0.061897183051354165,0.019990391889079192
surveyyear2010,-0.19249815430795125,0.019942022467553323,-9.652890253290781,5.210030717465872e-22,-0.08377021659820197,-0.12285658063460647,-0.04468385256179746
surveyyear2014,-0.2361493121591391,0.020296804661473475,-11.63480242815696,3.286023941352746e-31,-0.09880157253445919,-0.1385833096709472,-0.059019835397971177
surveyyear2018,-0.19136440990805476,0.024041517400741747,-7.959747578251888,1.794892892547187e-15,-0.06208166025284828,-0.10920303435830211,-0.014960286147394454
age,-0.0960274805261746,0.006394932983849308,-15.016182463318433,9.464334417310723e-51,-0.09623731383977878,-0.10877138248812343,-0.08370324519143413
sex,-0.12565377815709503,0.0121010805378338,-10.38368249547971,3.3014848859884035e-25,-0.06294178354834908,-0.08665990140250332,-0.03922366569419483
fas,0.10662351401017975,0.006259127881552004,17.03488345787585,1.0293613887713123e-64,0.10638811346312284,0.09412022281528092,0.11865600411096476
profile1:surveyyear2006,0.02499678082095115,0.085503720639004,0.29234728774537605,0.7700234752903541,0.0023828030068319007,-0.16520448944561592,0.16997009545927974
profile2:surveyyear2006,0.03288528441672413,0.10790354714046473,0.30476555487017787,0.7605471942495121,0.00239443756112815,-0.2090965148341827,0.213885389956439
profile4:surveyyear2006,0.051924023913718864,0.07100551674870426,0.7312674604916019,0.4646224931092031,0.005953819769486802,-0.13321699305797352,0.14512463259694713
profile1:surveyyear2010,-0.1196688702180165,0.08064019215574644,-1.483985429832447,0.1378250941637093,-0.012663549610655458,-0.17071832623591848,0.14539122701460755
profile2:surveyyear2010,-0.008304324866803393,0.10242702934124498,-0.08107552196146174,0.9353825258519577,-6.595879724931135e-4,-0.20141656548133327,0.20009738953634706
profile4:surveyyear2010,0.02445166246634405,0.06964360861755241,0.3510970059093327,0.7255184625218447,0.002879919176149875,-0.13362155371425283,0.1393813920665526
profile1:surveyyear2014,-0.1387537496369514,0.08868866658049003,-1.564503729583356,0.11771167488005775,-0.012356978828147814,-0.18618676532590828,0.16147280766961264
profile2:surveyyear2014,-0.15856477406488556,0.10729722063953337,-1.4778087737946755,0.13947126820289968,-0.011629517070808263,-0.22193206952429365,0.19867303538267714
profile4:surveyyear2014,-0.18708148443223474,0.08314440726995835,-2.25007899599076,0.024452384564549807,-0.016538912372529562,-0.17950195062164792,0.14642412587658882
profile1:surveyyear2018,-0.34180889360328304,0.10206134864995288,-3.3490532716318446,8.120515601034337e-4,-0.024705022417235597,-0.22474526577114323,0.17533522093667203
profile2:surveyyear2018,-0.20706671469548554,0.15614321250750793,-1.3261333065344036,0.18480737371682773,-0.008972462014747452,-0.315013158529463,0.2970682344999681
profile4:surveyyear2018,-0.4420901859394581,0.12004694660155864,-3.6826441525978653,2.3130180464297782e-4,-0.024405296827789528,-0.25969731216684444,0.2108867185112654
