y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.3102029415904353,0.09960227860358467,-33.23420897593101,3.4521421493047315e-242,0.036508763855275926,0.03003405400330056,0.0443792848642353
1,age,0.8370717959483278,0.03496845502502259,23.937911908013643,1.2348086915554845e-126,2.309594102632715,2.156601545492249,2.473440181875724
1,sex,0.10116867961122794,0.060322376199045145,1.6771335279864084,0.09351637380771273,1.106463263816492,0.9830815738019317,1.2453299774918822
1,fas,0.026247386849162745,0.03059233561003654,0.857972636798338,0.390907573135511,1.0265948831356047,0.9668483791150673,1.090033429072728
2,(Intercept),-4.208942252591447,0.13431759151994532,-31.335748392766895,1.5214511497088448e-215,0.014862080353929967,0.011422105388640871,0.01933806640116757
2,age,1.0787089392147187,0.050130577323485324,21.517983570266242,1.0565854747799165e-102,2.9408802438679262,2.6656635344543127,3.2445117311263223
2,sex,0.22525647544296323,0.07835628990173199,2.874772092010244,0.0040431923010049815,1.252643947407431,1.0743095189258893,1.4605817330421655
2,fas,-0.11493693687513809,0.03888132871999556,-2.956095911815619,0.003115601891279067,0.8914223580137622,0.8260133518154403,0.9620108665560221
4,(Intercept),-3.27326665586468,0.09602035802603755,-34.08929859412812,1.0627296662368924e-254,0.03788247572070731,0.03138370224505883,0.045726981333310476
4,age,1.461771821146379,0.04251762980697327,34.38036945574599,4.955587833451665e-259,4.313595681444036,3.968694767551913,4.68847033919175
4,sex,-0.13507118522374387,0.05585547290399309,-2.4182265085448353,0.015596364881067911,0.8736537182390259,0.7830584694786793,0.9747303032186374
4,fas,-0.3047975414308779,0.027520330365185603,-11.075359103118174,1.6521646449809068e-28,0.7372726264434422,0.6985577762592704,0.7781330967548552
