term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.26832519013223555,0.020953567795154095,12.8057041528885,1.9863309686926925e-37,0.26832519013223555,0.22725619725373353,0.30939418301073757
profile1,-0.09365729551574668,0.09521297240572152,-0.983661082616497,0.32529150114286487,-0.019622640407691547,-0.20624006632290573,0.16699478550752264
profile2,-0.06452570055225017,0.12599449544145316,-0.5121311079993477,0.6085636837052253,-0.01046780599431628,-0.2574170170595645,0.2364814050709319
profile4,-0.2574697125911082,0.08301388501082896,-3.1015258779603183,0.0019273580776563888,-0.060024235309870104,-0.22273144993109487,0.10268297931135464
age,-0.06422509013645004,0.006461802209883675,-9.939191583149096,3.0980152917872446e-23,-0.0642741209339198,-0.0769392532652918,-0.051608988602547805
sex,-0.14151669000634354,0.01313326068066318,-10.775442096775429,5.140151595313963e-27,-0.0708235442906045,-0.09656473522470434,-0.045082353356504665
fas,0.04979412415273061,0.006155432997281282,8.089459210216985,6.257137787697666e-16,0.04973075416219034,0.03766610548751903,0.06179540283686165
profile1:sex,-0.14147829866136977,0.05882352822426192,-2.4051311257969843,0.016173732509916112,-0.048091616898708285,-0.16338573221826164,0.06720249842084508
profile2:sex,-0.18439038781028222,0.07645434754943031,-2.411771125128857,0.015882252269889565,-0.04935493127862336,-0.19920545247550678,0.10049558991826005
profile4:sex,-0.16866114091541576,0.05273849357245397,-3.1980651985006596,0.0013852172522423804,-0.06181320138758608,-0.16518064878959585,0.041554246014423694
