term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6823859256654036,0.04832466724366251,-14.120861344469876,1.6375673708392424e-44,-0.6823859256654036,-0.7771022734629821,-0.587669577867825
profile2,0.12296418086906949,0.14166183526399015,0.8680120558929852,0.38542505438086827,0.03560029805330263,-0.2420568990641181,0.3132574951707233
profile3,0.5677079811764258,0.1416989378462769,4.0064378026058876,6.244328568469473e-5,0.16939432503020047,-0.10833559314850227,0.4471242432089032
profile4,-0.016310758507011316,0.12669364108639047,-0.12874172979123125,0.8975666534808457,-0.005332682411040798,-0.2536522189403661,0.24298685411828452
age,0.018564518295676142,0.013742570471398152,1.3508767034750677,0.17678969626950905,0.0185842856611789,-0.008351152462761479,0.04551972378511927
sex,0.3566509919268952,0.030593426647460748,11.657765442123077,4.785285293739592e-31,0.17834969422649977,0.1183865779974767,0.23831281045552283
fas,-0.03996697475561925,0.01271627962752156,-3.1429770283691796,0.0016811529104537775,-0.040009464287562094,-0.06493337235750435,-0.015085556217619839
profile2:sex,0.09182155448608793,0.0889197917979107,1.0326334849588055,0.3018201966750569,0.042633127381578775,-0.13164966454232618,0.2169159193054837
profile3:sex,0.02306789244304263,0.08683908201953416,0.26563952435440974,0.7905266544320473,0.011334617554268966,-0.158869983204018,0.1815392183125559
profile4:sex,0.33294474593906387,0.07890746402219627,4.219432851693322,2.4880074126258387e-5,0.1753973469650648,0.020738717481560115,0.33005597644856943
