term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.244417863966414,0.045016882194371936,5.429471168418043,5.886242139057087e-8,0.244417863966414,0.156184774865445,0.332650953067383
profile2,-0.27266905308015127,0.10992339147444785,-2.4805371215601033,0.013147148961952794,-0.10289969722404772,-0.3183495445139655,0.11255015006587006
profile3,0.13854803616232192,0.20589245960191263,0.6729145711805119,0.5010289592396736,0.02709377073590284,-0.3764554500838459,0.4306429915556516
profile4,0.25152961503290516,0.17457467594857556,1.4408138732962517,0.14969227755041317,0.05887043379791046,-0.28329593106129763,0.40103679865711855
age,-0.13489261845882122,0.01291024114458215,-10.448497200645212,2.519851243605313e-25,-0.13502590825466793,-0.16032998089804895,-0.10972183561128691
sex,-0.056744975496409715,0.029089530753330695,-1.9507009575915049,0.0511416357128608,-0.028435484812411725,-0.08545096508893989,0.028579995464116437
fas,0.09005910012351617,0.012596398047456419,7.149591477200241,9.798752562772973e-13,0.08939583642487502,0.06470689625186044,0.1140847765978896
profile2:sex,-0.19339859578485166,0.06730756476430787,-2.8733560107556864,0.004076394142761586,-0.12174742678124988,-0.2536702537192933,0.010175400156793538
profile3:sex,-0.5485649694692779,0.12790572723589527,-4.288822567402044,1.8259493416634884e-5,-0.1730815562904618,-0.4237767816728165,0.07761366909189293
profile4:sex,-0.5354541247468589,0.10750919023070654,-4.98054281311035,6.527767897197538e-7,-0.20476930183496586,-0.41548731468715067,0.005948711017218944
