term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2090202784364883,0.0497491977683806,4.201480381847214,2.7058694991567582e-5,0.2090202784364883,0.11151185081046233,0.30652870606251426
profile1,-0.16355324873606886,0.2545551728160328,-0.6425060898458698,0.5205791071856571,-0.03169049798633057,-0.5306186367057548,0.4672376407330937
profile2,0.2580215042165983,0.4532507976319594,0.5692687261989383,0.5692037086613764,0.028634488676207152,-0.8597370746824333,0.9170060520348475
profile4,-0.4616672073762192,0.37904411304462393,-1.2179775163052546,0.22329976605476776,-0.06038926741308922,-0.8033157289805521,0.6825371941543736
age,-0.11581650043971602,0.015363463664266311,-7.538436837592305,5.773779874045961e-14,-0.1162042690142613,-0.14631665779622327,-0.08609188023229933
sex,-0.11692635385730367,0.030915381245661466,-3.782141741296256,1.576105399654519e-4,-0.0585747404702765,-0.11916888771177298,0.002019406771219971
fas,0.10960034640575303,0.015064278555235878,7.27551246505989,4.085244325133904e-13,0.10889046110295846,0.07936447513469613,0.13841644707122078
profile1:sex,-0.09110959961347762,0.15527534330914358,-0.5867615403179889,0.5573948673239301,-0.02895764059612918,-0.3332973134820506,0.2753820322897922
profile2:sex,-0.37718558089881826,0.27307212387172963,-1.3812672474616776,0.16726902919530487,-0.06951311820623406,-0.6047344809948242,0.46570824458235605
profile4:sex,-0.10638761136660572,0.23043339391323509,-0.46168486936691033,0.6443308252402488,-0.022896407515888874,-0.4745458595858297,0.4287530445540519
