term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.20319295844196072,0.023176322060728928,8.767265052217263,1.9349410356113915e-18,0.20319295844196072,0.15776736720293202,0.24861854968098943
profile1,-0.11966127509714906,0.05642525766715324,-2.1207040967897486,0.03395570839006215,-0.024036042935292712,-0.13462954796291304,0.08655746209232763
profile2,0.07599717751784701,0.07327586337207742,1.0371379335641726,0.2996807714852435,0.01161769544029366,-0.1320029967689781,0.15523838764956538
profile4,0.07775642287028782,0.04135927592204146,1.8800237948278333,0.06011548204446173,0.018414516086720074,-0.06264966472048117,0.09947869689392133
surveyyear2006,-0.06327820625195783,0.0194609098592528,-3.2515543574069765,0.0011491510998403959,-0.02770724304206423,-0.06585062636619972,0.010436140282071255
surveyyear2010,-0.08567162258937462,0.021095810563265552,-4.06107280554348,4.898409778179271e-5,-0.03278854294438799,-0.07413633164838847,0.008559245759612491
surveyyear2014,-0.06213274356549406,0.020339703932112572,-3.054751621403797,0.0022546423829230707,-0.025287915836298257,-0.0651537355432389,0.014577903870642384
surveyyear2018,0.06064230720656433,0.02186789103761674,2.773120970021689,0.005555916471024921,0.02205288670508854,-0.020808179728640273,0.06491395313881736
age,-0.11311939499933306,0.006202967836533479,-18.236334280680342,7.305293534531397e-74,-0.11314591665773964,-0.12530373361734526,-0.10098809969813402
sex,-0.08843105257650997,0.011831535120346306,-7.474182485790704,8.001711521196135e-14,-0.04426706821337192,-0.06745687704925069,-0.021077259377493156
fas,0.09371583185065993,0.006110406295579677,15.337086818343783,7.185597365265954e-53,0.09343747621109287,0.0814610798717567,0.10541387255042904
profile1:surveyyear2006,-0.28729843438885105,0.08174732000256607,-3.5144691517695343,4.4134761444671896e-4,-0.029134738267148238,-0.18935948547217774,0.13109000893788125
profile2:surveyyear2006,-0.5694951505204681,0.10323554660455071,-5.516463749661245,3.490265249065307e-8,-0.046652803706891344,-0.24899447505181074,0.15568886763802806
profile4:surveyyear2006,-0.5246613582002664,0.06207803797223976,-8.451642083708993,3.0135031282105255e-17,-0.06797083441736804,-0.18964378884295796,0.05370212000822189
profile1:surveyyear2010,-0.0307715341412306,0.09309260181900054,-0.33054757886195435,0.7409887866819347,-0.002493424571588007,-0.18495492413682907,0.17996807499365308
profile2:surveyyear2010,-0.17415159418440468,0.12427321766822597,-1.4013606266262433,0.16111763623259964,-0.010321560693390035,-0.2538970673231129,0.23325394593633283
profile4:surveyyear2010,-0.3806968426967488,0.08134216017413545,-4.68019095978963,2.879837552116712e-6,-0.032504607550956424,-0.19193524149226193,0.12692602639034906
profile1:surveyyear2014,-0.43343721964843357,0.09041132738449383,-4.794058799791176,1.6430103013633345e-6,-0.03673110582743218,-0.21393730750104006,0.14047509584617573
profile2:surveyyear2014,-0.5382608219092556,0.11228570155243361,-4.7936719855457826,1.646180337445718e-6,-0.03766378549813725,-0.25774376054090714,0.18241618954463262
profile4:surveyyear2014,-0.7298537700562487,0.07771030989161175,-9.391981206537835,6.332594086764283e-21,-0.06621133114859751,-0.21852353853615653,0.08610087623896151
profile1:surveyyear2018,-0.26142058419525055,0.0955713629248128,-2.7353443143937732,0.006235531823054454,-0.020347765020326106,-0.2076676363529592,0.16697210631230697
profile2:surveyyear2018,-0.4892875079872212,0.1532223499967144,-3.1933168235424736,0.0014080820900254749,-0.02156389892491979,-0.32187970491848,0.27875190706864045
profile4:surveyyear2018,-0.7760856011921834,0.12200540282909637,-6.361075683503248,2.035206185812518e-10,-0.04012701443876691,-0.2792576039837958,0.199003575106262
