term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.35172114861591625,0.01993625514892919,17.64228768083397,2.809117566648815e-69,0.35172114861591625,0.31264608852401504,0.39079620870781745
profile1,-0.11999781663331952,0.09458491055143514,-1.2686782271477106,0.2045665799828575,-0.024054188301471796,-0.20944061298228467,0.16133223637934108
profile2,-0.321261097849645,0.12559004738661017,-2.5580139870533753,0.010532491947047347,-0.04914404080752752,-0.2953005336852834,0.1970124520702284
profile4,-0.11879763549877709,0.08065453681725852,-1.4729194436754447,0.14078419307341894,-0.02813679529873966,-0.18621968746056636,0.12994609686308703
age,-0.06475774491625015,0.006167319594886157,-10.500144174455665,9.647972981898661e-26,-0.06481365904476677,-0.07690160545074363,-0.052725712638789904
sex,-0.20042920022818353,0.01257413476609146,-15.939800547444337,6.03488053850722e-57,-0.10036368582917653,-0.1250089899707158,-0.07571838168763727
fas,0.07741942867557047,0.005926512906528462,13.063234636726708,6.97189258268865e-39,0.07729837186990089,0.0656824065731051,0.08891433716669668
profile1:sex,-0.10647245077106236,0.058861187013937964,-1.8088736597488315,0.07048153989400553,-0.03438522384136647,-0.14975315038868486,0.08098270270595194
profile2:sex,-0.0036943270672170894,0.0772881508792444,-0.0477993977755935,0.9618764633061467,-9.195135570842743e-4,-0.1524042892804033,0.15056526216623475
profile4:sex,-0.23989744524717838,0.04986836656874213,-4.810613656585013,1.5126342566018047e-6,-0.09202075761456162,-0.1897627560892962,0.005721240860172949
