term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.13266094363109687,0.020119798380786185,6.593552336875511,4.372609843172157e-11,0.13266094363109687,0.09322613880475594,0.1720957484574378
profile1,-0.08035191506504925,0.09553560384504173,-0.8410677467991897,0.40031735115731615,-0.016140076051074367,-0.20338985958735614,0.1711097074852074
profile2,0.14520627162617783,0.12657097876497628,1.147231956669977,0.2512958237959083,0.022197695952291468,-0.22588142242706205,0.27027681433164497
profile4,0.04254436101272269,0.0814300928858252,0.5224648469009486,0.6013509565493736,0.010075486903183826,-0.14952749515303357,0.16967846895940122
age,-0.11330431815187031,0.0062270518081647495,-18.195499514442552,1.525993437771478e-73,-0.11333088316684437,-0.12553590471084727,-0.10112586162284146
sex,-0.06488014747216049,0.012692074765351627,-5.1118630067700375,3.211487151169619e-7,-0.03247788904648484,-0.05735435558657403,-0.007601422506395651
fas,0.09207704963331736,0.005988161105100665,15.376515096577297,3.931450921383001e-53,0.09180356152000718,0.08006676575400988,0.10354035728600448
profile1:sex,-0.14587112754503856,0.059304239562353075,-2.4597082539380373,0.013911154048020992,-0.047327718596704954,-0.16356402813891696,0.06890859094550707
profile2:sex,-0.26538253112813803,0.0780055569556238,-3.402097766946401,6.696663573762678e-4,-0.06591070525860579,-0.21880159689162845,0.08698018637441687
profile4:sex,-0.19457302846890842,0.05033071640653751,-3.8658903024006057,1.109409928142452e-4,-0.07465311600925596,-0.17330132016606947,0.02399508814755756
