term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.6866183021992762,0.02620690252444654,-26.199902928580716,8.399432311020476e-149,-0.6866183021992762,-0.7379838311471915,-0.635252773251361
profile1,0.47268277595857694,0.07741711761449958,6.105662294381874,1.0425555878498782e-9,0.09389976547989168,-0.057837785044527495,0.24563731600431085
profile3,0.49552433755326497,0.07639445636254523,6.486391305694418,8.996635129280265e-11,0.09367636180446694,-0.056056772666121704,0.2434094962750556
surveyyear2006,-0.01446277316185616,0.023327778063451796,-0.6199807423800616,0.5352775015498119,-0.00558863586996402,-0.05131108087432954,0.0401338091344015
surveyyear2010,0.005811571482113764,0.021946400192240277,0.26480750515834467,0.7911604732340562,0.0024813089098213565,-0.040533635466969586,0.045496253286612304
surveyyear2014,0.023614748905864312,0.02262358428492798,1.0438111224310578,0.29658535177665885,0.009505343993508449,-0.03483688120495039,0.05384756919196729
surveyyear2018,0.16755656337047242,0.022887635382426934,7.320833304567667,2.557308103206574e-13,0.06567827101897518,0.02081850566941839,0.11053803636853196
age,0.1315877773152835,0.007032717124385513,18.710801954341516,1.843212279346e-77,0.13163532799289826,0.11785120242910266,0.14541945355669386
sex,0.4074370636841455,0.01352465175047877,30.1255123755569,4.841662339611441e-195,0.20390039978489632,0.17739208235395793,0.23040871721583472
fas,-1.6492576407544832e-4,0.006908647837139563,-0.023872365181047312,0.9809546546234946,-1.6483807344427477e-4,-0.013705787834237818,0.013376111687349267
profile1:surveyyear2006,-0.09500171750709056,0.10551842323302442,-0.9003329901669492,0.3679538681371394,-0.009108339065049844,-0.2159244486017777,0.197707770471678
profile3:surveyyear2006,-0.17083174186285346,0.1101655370984447,-1.5506822402199791,0.1209936139039505,-0.01477031282072241,-0.23069476553367402,0.2011541398922292
profile1:surveyyear2010,0.1521126911539721,0.1033618298076995,1.471652460458291,0.14113042423381317,0.015192100392150062,-0.18739708603094096,0.21778128681524112
profile3:surveyyear2010,-0.14765481856048765,0.10257660356277137,-1.4394590328790797,0.15003609895564413,-0.014782960442645026,-0.2158331034256769,0.18626718254038688
profile1:surveyyear2014,-0.018321854887720552,0.10667829999089885,-0.17174865824899405,0.8636368612820533,-0.0017091731838590337,-0.2107986411660208,0.2073802947983027
profile3:surveyyear2014,-0.04140515026016541,0.11367903673168543,-0.3642285460061844,0.7156911877468302,-0.00336131117343038,-0.22617222316753383,0.21944960082067305
profile1:surveyyear2018,-0.005035113744322249,0.12384763091718114,-0.04065571304863561,0.96757077248658,-0.00035472882478134523,-0.24309608542245636,0.24238662777289366
profile3:surveyyear2018,-0.17478749795710494,0.12649166775319987,-1.3818103679219087,0.16704530870263168,-0.011813493112539602,-0.25973716190881135,0.23611017568373213
