term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.42944143006924135,0.02802231726459276,15.32497923045988,1.2202125048939622e-52,0.42944143006924135,0.3745176882306395,0.4843651719078432
profile1,-0.19104159360322395,0.07200084802187878,-2.6533242156421886,0.007978115979651465,-0.03764038214408613,-0.17876204426696854,0.10348127997879628
profile3,-0.1679722598518605,0.07862931820010491,-2.1362548181377514,0.03267361605592541,-0.031182483249027164,-0.1852959469212328,0.12293098042317846
surveyyear2010,-0.15319848166693073,0.021889610698841492,-6.99868461685519,2.6852038331282613e-12,-0.07001301724055586,-0.11291665421028518,-0.027109380270826537
surveyyear2014,-0.18812735243792425,0.022651588019768524,-8.305261082522845,1.0740553500226308e-16,-0.08139260912654542,-0.12578972164529173,-0.03699549660779911
surveyyear2018,-0.25725525360026436,0.022753345287810284,-11.3062606990843,1.5770519715931083e-29,-0.10913812282769782,-0.15373467959180598,-0.06454156606358966
age,-0.26449968044991196,0.007714583839151038,-34.28567061616368,9.401193220492052e-249,-0.26424202185993256,-0.27936260618466857,-0.24912143753519653
sex,-0.165688139244482,0.014833394017647772,-11.169941218264507,7.297344899190878e-29,-0.08299053465386641,-0.11206398692845604,-0.05391708237927678
fas,0.09946443745745977,0.007619020128457569,13.054754519672837,9.372967419147427e-39,0.09944935149812564,0.08451607204634881,0.11438263094990248
profile1:surveyyear2010,-0.17153438178554706,0.09896167220310441,-1.733341585351324,0.0830540316060837,-0.018894712992604312,-0.21285959051068895,0.17507016452548033
profile3:surveyyear2010,0.0453726256650622,0.10367877600500267,0.43762694172694416,0.6616625812159997,0.005035095610105391,-0.19817530535969982,0.20824549657991062
profile1:surveyyear2014,0.030263276546977257,0.10277818548719747,0.29445233347447053,0.7684160608550168,0.003091553873049454,-0.19835368968185757,0.2045367974279565
profile3:surveyyear2014,-0.07492489883388627,0.11463780497566715,-0.6535793218457883,0.513392161182058,-0.006727074708908387,-0.231417172461216,0.21796302304339923
profile1:surveyyear2018,-0.22907285132782937,0.11889221592442296,-1.9267270741546754,0.054031150853891007,-0.01807607140931671,-0.2511048146211857,0.2149526718025523
profile3:surveyyear2018,-0.26418481644134684,0.12614172692388292,-2.0943491331838398,0.03624441253425408,-0.02000907539513873,-0.26724686016594923,0.2272287093756718
